Date,TSLA
2025-01-01,
2025-01-02,379.28
2025-01-03,410.44
2025-01-04,
2025-01-05,
2025-01-06,411.05
2025-01-07,394.36
2025-01-08,394.94
2025-01-09,
2025-01-10,394.74
2025-01-11,
2025-01-12,
2025-01-13,403.31
2025-01-14,396.36
2025-01-15,428.22
2025-01-16,413.82
2025-01-17,426.5
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,424.07
2025-01-22,415.11
2025-01-23,412.38
2025-01-24,406.58
2025-01-25,
2025-01-26,
2025-01-27,397.15
2025-01-28,398.09
2025-01-29,389.1
2025-01-30,400.28
2025-01-31,404.6
2025-02-01,
2025-02-02,
2025-02-03,383.68
2025-02-04,392.21
2025-02-05,378.17
2025-02-06,374.32
2025-02-07,361.62
2025-02-08,
2025-02-09,
2025-02-10,350.73
2025-02-11,328.5
2025-02-12,336.51
2025-02-13,355.94
2025-02-14,355.84
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,354.11
2025-02-19,360.56
2025-02-20,354.4
2025-02-21,337.8
2025-02-22,
2025-02-23,
2025-02-24,330.53
2025-02-25,302.8
2025-02-26,290.8
2025-02-27,281.95
2025-02-28,292.98
2025-03-01,
2025-03-02,
2025-03-03,284.65
2025-03-04,272.04
2025-03-05,279.1
2025-03-06,263.45
2025-03-07,262.67
2025-03-08,
2025-03-09,
2025-03-10,222.15
2025-03-11,230.58
2025-03-12,248.09
2025-03-13,240.68
2025-03-14,249.98
2025-03-15,
2025-03-16,
2025-03-17,238.01
2025-03-18,225.31
2025-03-19,235.86
2025-03-20,236.26
2025-03-21,248.71
2025-03-22,
2025-03-23,
2025-03-24,278.39
2025-03-25,288.14
2025-03-26,272.06
2025-03-27,273.13
2025-03-28,263.55
2025-03-29,
2025-03-30,
2025-03-31,259.16
2025-04-01,268.46
2025-04-02,282.76
2025-04-03,267.28
2025-04-04,239.43
2025-04-05,
2025-04-06,
2025-04-07,233.29
2025-04-08,221.86
2025-04-09,272.2
2025-04-10,252.4
2025-04-11,252.31
2025-04-12,
2025-04-13,
2025-04-14,252.35
2025-04-15,254.11
2025-04-16,241.55
2025-04-17,241.37
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,227.5
2025-04-22,237.97
2025-04-23,250.74
2025-04-24,259.51
2025-04-25,284.95
2025-04-26,
2025-04-27,
2025-04-28,285.88
2025-04-29,292.03
2025-04-30,282.16
2025-05-01,280.52
2025-05-02,287.21
2025-05-03,
2025-05-04,
2025-05-05,280.26
2025-05-06,275.35
2025-05-07,276.22
2025-05-08,284.82
2025-05-09,298.26
2025-05-10,
2025-05-11,
2025-05-12,318.38
2025-05-13,334.07
2025-05-14,347.68
2025-05-15,342.82
2025-05-16,349.98
2025-05-17,
2025-05-18,
2025-05-19,342.09
2025-05-20,343.82
2025-05-21,334.62
2025-05-22,341.04
2025-05-23,339.34
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,362.89
2025-05-28,356.9
2025-05-29,358.43
2025-05-30,346.46
2025-05-31,
2025-06-01,
2025-06-02,342.69
2025-06-03,344.27
2025-06-04,332.05
2025-06-05,284.7
2025-06-06,295.14
2025-06-07,
2025-06-08,
2025-06-09,308.58
2025-06-10,326.09
2025-06-11,326.43
2025-06-12,319.11
2025-06-13,325.31
2025-06-14,
2025-06-15,
2025-06-16,329.13
2025-06-17,316.35
2025-06-18,322.05
2025-06-19,
2025-06-20,322.16
2025-06-21,
2025-06-22,
2025-06-23,348.68
2025-06-24,340.47
2025-06-25,327.55
2025-06-26,325.78
2025-06-27,323.63
2025-06-28,
2025-06-29,
2025-06-30,317.66
2025-07-01,300.71
2025-07-02,315.65
2025-07-03,315.35
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,293.94
2025-07-08,297.81
2025-07-09,295.88
2025-07-10,309.87
2025-07-11,313.51
2025-07-12,
2025-07-13,
2025-07-14,316.9
2025-07-15,310.78
2025-07-16,321.67
2025-07-17,319.41
2025-07-18,329.65
2025-07-19,
2025-07-20,
2025-07-21,328.49
2025-07-22,332.11
2025-07-23,332.56
2025-07-24,305.3
2025-07-25,316.06
2025-07-26,
2025-07-27,
2025-07-28,325.59
2025-07-29,323.58
