Date,A,AA,AACT,AAL,AAP,AAPL,AASCX,AASMX,AAUTX,ABBV,ABCL,ABEV,ABLOX,ABM,ABT,ACCO,ACFCX,ACFDX,ACFGX,ACFNX,ACFOX,ACFSX,ACGL,ACILX,ACLS,ACMR,ACN,ACRE,ACSLX,ACTVX
2025-07-16,113.43,28.46,11.38,12.27,62.29,209.92,30.9,22.62,30.83,190.58,4.06,2.3954,23.38,48.12,131.74,3.68,69.87,71.81,79.69,77.2,73.79,75.27,89.07,31.6,71.64,29.66,279.67,4.54,94.16,107.25
2025-07-17,116.36,29.29,11.38,12.45,61.08,209.78,31.26,22.82,31.01,191.4,3.9,2.3558,23.5,48.42,120.51,3.79,70.59,72.55,80.52,78.0,74.55,76.05,88.66,31.87,71.52,30.2,282.7,4.51,94.69,107.25
2025-07-18,113.99,30.23,11.36,12.51,61.13,210.94,31.27,22.65,31.02,189.26,4.48,2.3261,23.5,47.72,123.67,3.75,70.53,72.5,80.47,77.94,74.5,76.0,88.35,32.04,70.96,30.08,282.44,4.43,94.82,107.29
2025-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-21,112.04,30.87,11.41,12.32,62.8,212.24,31.04,22.58,30.98,184.85,5.15,2.3459,23.56,47.51,124.42,3.77,70.56,72.53,80.5,77.98,74.53,76.03,87.55,31.82,74.54,30.4,282.45,4.48,95.14,107.31
2025-07-22,116.19,31.82,11.43,12.5,65.63,214.16,31.36,22.91,31.34,187.11,4.92,2.3558,23.54,47.87,125.73,3.92,70.14,72.1,80.03,77.52,74.09,75.58,89.0,31.86,75.25,29.6,286.96,4.55,94.59,107.31
2025-07-23,119.47,31.99,11.4,12.68,66.5,213.91,31.49,23.16,31.65,190.55,4.99,2.4053,23.68,48.09,125.83,4.02,70.77,72.75,80.75,78.21,74.76,76.26,88.62,32.13,74.84,30.19,286.04,4.61,95.29,107.32
2025-07-24,120.35,31.75,11.4,11.46,59.65,213.52,31.36,22.92,31.53,190.83,5.02,2.3954,23.71,47.52,125.64,3.93,70.51,72.48,80.45,77.92,74.48,75.97,88.0,32.13,72.85,29.8,281.71,4.59,95.6,107.31
2025-07-25,120.18,30.73,11.45,11.5,58.68,213.64,31.57,23.1,31.6,190.28,5.11,2.3657,23.76,47.7,126.54,4.0,70.9,72.88,80.91,78.36,74.9,76.4,88.89,32.45,73.4,29.93,283.15,4.66,95.97,107.35
2025-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-28,119.54,30.58,11.41,11.58,57.5,213.81,31.36,23.08,31.49,188.52,4.92,2.2766,23.75,47.11,126.35,4.0,71.07,73.05,81.1,78.55,75.07,76.58,86.5,32.49,75.38,31.98,277.04,4.59,96.42,107.36
2025-07-29,119.84,30.34,11.42,11.42,56.74,211.03,31.25,23.05,31.44,191.22,4.69,2.3162,23.77,47.0,128.01,3.88,70.84,72.82,80.84,78.3,74.84,76.34,86.12,32.31,73.17,31.68,278.9,4.59,95.95,107.34
2025-07-30,118.05,30.02,11.45,11.51,55.83,208.81,31.01,22.92,31.36,189.31,4.57,2.2766,23.74,46.48,128.55,3.78,71.34,73.34,81.42,78.86,75.37,76.88,85.61,32.46,72.89,32.06,274.0,4.49,96.07,107.35
2025-07-31,114.81,29.87,11.4,11.49,53.07,207.33,30.57,22.6,31.14,189.02,4.47,2.1578,23.64,46.13,126.19,3.75,71.03,73.02,81.07,78.52,75.04,76.55,86.06,32.22,67.69,30.36,267.1,4.47,96.36,107.36
2025-08-01,113.5,28.3,11.41,11.03,52.71,202.15,30.23,22.26,30.7,195.22,4.24,2.1578,23.45,45.47,127.29,3.44,69.52,71.47,79.35,76.85,73.45,74.92,88.0,31.7,68.75,29.48,255.37,4.44,94.2,107.4
2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04,114.84,29.02,11.4,11.27,53.53,203.12,30.43,22.54,31.06,197.19,4.34,2.1875,23.71,46.51,129.93,3.49,71.02,73.0,81.06,78.51,75.03,76.54,88.51,32.25,70.88,30.74,258.78,4.52,96.02,107.41
2025-08-05,114.89,29.52,11.41,11.64,57.09,202.69,30.35,22.76,31.02,198.55,4.36,2.1875,23.57,46.97,130.69,3.54,70.64,72.61,80.63,78.09,74.63,76.13,88.66,31.99,78.01,29.65,247.07,4.16,95.25,107.42
2025-08-06,113.23,29.45,11.41,11.74,60.43,213.01,30.36,22.72,30.96,196.3,4.12,2.237,23.69,47.39,130.93,3.6,71.58,73.58,81.71,79.13,75.62,77.15,89.76,32.06,75.72,25.1,247.54,4.14,96.4,107.43
2025-08-07,113.98,30.0,11.39,11.73,58.34,219.78,30.18,22.55,30.88,198.86,4.24,2.2568,23.71,47.23,132.06,3.58,71.64,73.65,81.78,79.2,75.69,77.21,88.86,31.94,79.51,24.27,241.72,4.45,96.32,107.44
2025-08-08,114.62,30.07,11.4,11.62,59.08,229.09,30.24,22.61,31.07,198.05,4.25,2.237,23.85,47.74,134.28,3.64,72.02,74.04,82.23,79.63,76.1,77.63,88.83,31.54,79.42,23.94,239.2,4.33,97.17,107.47
2025-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11,114.13,29.23,11.41,11.58,59.36,227.18,30.0,22.49,31.0,198.64,4.5,2.24,23.81,47.57,131.36,3.67,71.7,73.71,81.87,79.28,75.76,77.29,89.88,31.39,78.0,23.92,238.61,4.16,96.95,107.48
2025-08-12,117.32,31.38,11.38,12.98,59.11,229.65,30.43,23.07,31.47,198.64,4.27,2.24,24.03,48.76,131.02,3.8,72.11,74.13,82.34,79.73,76.19,77.73,87.78,31.85,81.32,24.93,237.87,4.4,98.01,107.49
2025-08-13,120.29,31.73,11.38,13.11,61.81,233.33,30.8,23.53,31.74,201.47,4.58,2.21,24.08,49.53,129.4,3.91,71.92,73.94,82.13,79.53,76.0,77.53,89.95,31.97,84.97,25.46,245.68,4.53,98.06,107.5
2025-08-14,118.87,31.33,11.39,12.82,56.85,232.78,30.53,23.23,31.67,204.68,4.5,2.18,24.1,48.39,129.28,3.91,72.02,74.04,82.24,79.64,76.1,77.64,91.46,31.62,83.76,25.48,246.16,4.52,98.24,107.51
2025-08-15,119.2,31.27,11.38,13.17,56.84,231.59,30.43,23.07,31.55,206.69,4.59,2.19,24.0,48.14,131.75,3.89,72.21,74.24,82.47,79.85,76.3,77.85,90.72,31.6,80.51,25.02,247.01,4.5,97.92,107.54
2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-18,118.15,29.63,11.39,13.17,56.6,230.89,30.46,23.22,31.54,206.57,4.67,2.19,23.97,47.78,130.27,3.84,72.6,74.64,82.91,80.28,76.71,78.27,90.35,31.87,80.73,25.16,249.13,4.38,97.94,107.55
2025-08-19,120.11,29.85,11.39,13.22,56.32,230.56,30.56,23.2,31.58,206.19,4.29,2.17,23.88,48.34,131.25,3.8156,71.28,73.28,81.41,78.82,75.32,76.84,91.84,31.64,80.2,25.07,255.88,4.46,96.59,107.56
2025-08-20,119.11,29.33,11.39,12.8,56.56,226.01,30.45,23.06,31.62,209.15,4.17,2.19,23.82,48.17,132.44,3.8058,70.93,72.92,81.01,78.44,74.95,76.47,92.84,31.59,79.07,25.16,255.05,4.51,96.28,107.57
2025-08-21,117.15,29.51,11.4,12.57,55.6,224.9,30.4,23.1,31.5,209.5,4.3,2.19,23.76,47.86,132.0,3.845,70.79,72.78,80.86,78.29,74.81,76.32,93.54,31.46,78.51,25.61,253.99,4.36,95.81,107.58
2025-08-22,121.63,31.68,11.4,13.55,57.79,227.76,31.08,23.9,32.04,210.6,4.39,2.23,24.01,49.66,132.59,4.01,72.15,74.18,82.42,79.8,76.25,77.79,93.41,32.0,81.29,30.53,259.22,4.66,97.52,107.61
2025-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
