Date,VOOG
2025-01-01,
2025-01-02,365.16
2025-01-03,371.86
2025-01-04,
2025-01-05,
2025-01-06,375.18
2025-01-07,368.32
2025-01-08,368.89
2025-01-09,
2025-01-10,363.54
2025-01-11,
2025-01-12,
2025-01-13,362.21
2025-01-14,361.52
2025-01-15,369.97
2025-01-16,368.57
2025-01-17,373.41
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,377.18
2025-01-22,381.84
2025-01-23,383.63
2025-01-24,382.28
2025-01-25,
2025-01-26,
2025-01-27,368.34
2025-01-28,375.82
2025-01-29,373.28
2025-01-30,376.33
2025-01-31,374.54
2025-02-01,
2025-02-02,
2025-02-03,371.56
2025-02-04,375.66
2025-02-05,377.18
2025-02-06,380.21
2025-02-07,376.68
2025-02-08,
2025-02-09,
2025-02-10,380.12
2025-02-11,378.8
2025-02-12,377.89
2025-02-13,382.82
2025-02-14,383.52
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,383.6
2025-02-19,383.9
2025-02-20,381.07
2025-02-21,372.11
2025-02-22,
2025-02-23,
2025-02-24,368.23
2025-02-25,364.49
2025-02-26,366.96
2025-02-27,357.39
2025-02-28,363.74
2025-03-01,
2025-03-02,
2025-03-03,354.75
2025-03-04,351.34
2025-03-05,356.24
2025-03-06,345.99
2025-03-07,347.34
2025-03-08,
2025-03-09,
2025-03-10,334.16
2025-03-11,333.27
2025-03-12,338.53
2025-03-13,332.43
2025-03-14,341.01
2025-03-15,
2025-03-16,
2025-03-17,342.23
2025-03-18,336.15
2025-03-19,341.34
2025-03-20,340.76
2025-03-21,341.61
2025-03-22,
2025-03-23,
2025-03-24,349.92
2025-03-25,351.54
2025-03-26,343.99
2025-03-27,341.71
2025-03-28,333.26
2025-03-29,
2025-03-30,
2025-03-31,334.06
2025-04-01,336.54
2025-04-02,339.67
2025-04-03,321.02
2025-04-04,301.17
2025-04-05,
2025-04-06,
2025-04-07,302.64
2025-04-08,298.77
2025-04-09,332.52
2025-04-10,319.41
2025-04-11,325.65
2025-04-12,
2025-04-13,
2025-04-14,327.87
2025-04-15,327.4
2025-04-16,318.4
2025-04-17,318.47
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,309.52
2025-04-22,318.16
2025-04-23,325.46
2025-04-24,334.34
2025-04-25,338.9
2025-04-26,
2025-04-27,
2025-04-28,338.38
2025-04-29,340.98
2025-04-30,340.32
2025-05-01,344.56
2025-05-02,351.38
2025-05-03,
2025-05-04,
2025-05-05,349.91
2025-05-06,346.29
2025-05-07,347.56
2025-05-08,350.19
2025-05-09,349.6
2025-05-10,
2025-05-11,
2025-05-12,362.84
2025-05-13,369.33
2025-05-14,372.0
2025-05-15,372.25
2025-05-16,374.06
2025-05-17,
2025-05-18,
2025-05-19,374.74
2025-05-20,372.76
2025-05-21,367.31
2025-05-22,367.98
2025-05-23,365.77
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,374.02
2025-05-28,372.67
2025-05-29,373.75
2025-05-30,372.83
2025-05-31,
2025-06-01,
2025-06-02,376.21
2025-06-03,378.37
2025-06-04,379.15
2025-06-05,376.21
2025-06-06,380.28
2025-06-07,
2025-06-08,
2025-06-09,380.52
2025-06-10,382.46
2025-06-11,381.53
2025-06-12,383.26
2025-06-13,378.56
2025-06-14,
2025-06-15,
2025-06-16,383.57
2025-06-17,380.03
2025-06-18,379.73
2025-06-19,
2025-06-20,377.08
2025-06-21,
2025-06-22,
2025-06-23,381.96
2025-06-24,388.01
2025-06-25,388.41
2025-06-26,392.42
2025-06-27,395.11
2025-06-28,
2025-06-29,
2025-06-30,396.54
2025-07-01,393.18
2025-07-02,396.0
2025-07-03,399.75
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,397.34
2025-07-08,396.27
2025-07-09,400.01
2025-07-10,400.31
2025-07-11,399.24
2025-07-12,
2025-07-13,
2025-07-14,400.66
2025-07-15,401.12
2025-07-16,402.28
2025-07-17,404.56
2025-07-18,405.08
2025-07-19,
2025-07-20,
2025-07-21,406.56
2025-07-22,403.91
2025-07-23,407.67
2025-07-24,408.53
2025-07-25,410.68
2025-07-26,
2025-07-27,
2025-07-28,412.06
2025-07-29,410.89
