Date,AAPL
2025-06-01,
2025-06-02,201.7
2025-06-03,203.27
2025-06-04,202.82
2025-06-05,200.63
2025-06-06,203.92
2025-06-07,
2025-06-08,
2025-06-09,201.45
2025-06-10,202.67
2025-06-11,198.78
2025-06-12,199.2
2025-06-13,196.45
2025-06-14,
2025-06-15,
2025-06-16,198.42
2025-06-17,195.64
2025-06-18,196.58
2025-06-19,
2025-06-20,199.52
2025-06-21,
2025-06-22,
2025-06-23,201.5
2025-06-24,200.3
2025-06-25,201.56
2025-06-26,201.0
2025-06-27,201.08
2025-06-28,
2025-06-29,
2025-06-30,205.17
2025-07-01,207.82
2025-07-02,212.44
2025-07-03,213.55
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,209.95
2025-07-08,210.01
2025-07-09,211.14
2025-07-10,212.41
