Date,AAPL
2022-01-01,
2022-01-02,
2022-01-03,178.65
2022-01-04,176.38
2022-01-05,171.69
2022-01-06,168.82
2022-01-07,168.99
2022-01-08,
2022-01-09,
2022-01-10,169.01
2022-01-11,171.84
2022-01-12,172.29
2022-01-13,169.01
2022-01-14,169.87
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,166.66
2022-01-19,163.16
2022-01-20,161.47
2022-01-21,159.41
2022-01-22,
2022-01-23,
2022-01-24,158.63
2022-01-25,156.83
2022-01-26,156.74
2022-01-27,156.28
2022-01-28,167.18
2022-01-29,
2022-01-30,
2022-01-31,171.55
2022-02-01,171.38
2022-02-02,172.59
2022-02-03,169.7
2022-02-04,169.42
2022-02-05,
2022-02-06,
2022-02-07,168.7
2022-02-08,171.82
2022-02-09,173.24
2022-02-10,169.15
2022-02-11,165.73
2022-02-12,
2022-02-13,
2022-02-14,165.97
2022-02-15,169.81
2022-02-16,169.58
2022-02-17,165.97
2022-02-18,164.42
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,161.49
2022-02-23,157.31
2022-02-24,159.94
2022-02-25,162.01
2022-02-26,
2022-02-27,
2022-02-28,162.27
2022-03-01,160.39
2022-03-02,163.69
2022-03-03,163.37
2022-03-04,160.36
2022-03-05,
2022-03-06,
2022-03-07,156.55
2022-03-08,154.73
2022-03-09,160.14
2022-03-10,155.79
2022-03-11,152.06
2022-03-12,
2022-03-13,
2022-03-14,148.02
2022-03-15,152.42
2022-03-16,156.84
2022-03-17,157.85
2022-03-18,161.15
2022-03-19,
2022-03-20,
2022-03-21,162.53
2022-03-22,165.91
2022-03-23,167.28
2022-03-24,171.07
2022-03-25,171.71
2022-03-26,
2022-03-27,
2022-03-28,172.57
2022-03-29,175.88
2022-03-30,174.71
2022-03-31,171.6
2022-04-01,171.31
2022-04-02,
2022-04-03,
2022-04-04,175.36
2022-04-05,172.04
2022-04-06,168.87
2022-04-07,169.17
2022-04-08,167.16
2022-04-09,
2022-04-10,
2022-04-11,162.89
2022-04-12,164.77
2022-04-13,167.46
2022-04-14,162.44
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,162.23
2022-04-19,164.52
2022-04-20,164.35
2022-04-21,163.55
2022-04-22,159.0
2022-04-23,
2022-04-24,
2022-04-25,160.07
2022-04-26,154.1
2022-04-27,153.87
2022-04-28,160.82
2022-04-29,154.93
2022-04-30,
2022-05-01,
2022-05-02,155.24
2022-05-03,156.73
2022-05-04,163.16
2022-05-05,154.07
2022-05-06,154.8
2022-05-07,
2022-05-08,
2022-05-09,149.66
2022-05-10,152.07
2022-05-11,144.19
2022-05-12,140.31
2022-05-13,144.79
2022-05-14,
2022-05-15,
2022-05-16,143.24
2022-05-17,146.88
2022-05-18,138.6
2022-05-19,135.18
2022-05-20,135.42
2022-05-21,
2022-05-22,
2022-05-23,140.85
2022-05-24,138.14
2022-05-25,138.3
2022-05-26,141.51
2022-05-27,147.28
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,146.49
2022-06-01,146.36
2022-06-02,148.82
2022-06-03,143.08
2022-06-04,
2022-06-05,
2022-06-06,143.83
2022-06-07,146.36
2022-06-08,145.62
2022-06-09,140.39
2022-06-10,134.96
2022-06-11,
2022-06-12,
2022-06-13,129.8
2022-06-14,130.66
2022-06-15,133.29
2022-06-16,128.01
2022-06-17,129.48
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,133.72
2022-06-22,133.21
2022-06-23,136.09
2022-06-24,139.42
2022-06-25,
2022-06-26,
2022-06-27,139.42
2022-06-28,135.27
2022-06-29,137.03
2022-06-30,134.56
2022-07-01,136.74
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,139.32
2022-07-06,140.66
2022-07-07,144.04
2022-07-08,144.72
2022-07-09,
2022-07-10,
2022-07-11,142.58
2022-07-12,143.56
2022-07-13,143.19
