Date,AAPL,TSLA
2022-01-01,,
2022-01-02,,
2022-01-03,178.65,399.93
2022-01-04,176.38,383.2
2022-01-05,171.69,362.71
2022-01-06,168.82,354.9
2022-01-07,168.99,342.32
2022-01-08,,
2022-01-09,,
2022-01-10,169.01,352.71
2022-01-11,171.84,354.8
2022-01-12,172.29,368.74
2022-01-13,169.01,343.85
2022-01-14,169.87,349.87
2022-01-15,,
2022-01-16,,
2022-01-17,,
2022-01-18,166.66,343.5
2022-01-19,163.16,331.88
2022-01-20,161.47,332.09
2022-01-21,159.41,314.63
2022-01-22,,
2022-01-23,,
2022-01-24,158.63,310.0
2022-01-25,156.83,306.13
2022-01-26,156.74,312.47
2022-01-27,156.28,276.37
2022-01-28,167.18,282.12
2022-01-29,,
2022-01-30,,
2022-01-31,171.55,312.24
2022-02-01,171.38,310.42
2022-02-02,172.59,301.89
2022-02-03,169.7,297.05
2022-02-04,169.42,307.77
2022-02-05,,
2022-02-06,,
2022-02-07,168.7,302.45
2022-02-08,171.82,307.33
2022-02-09,173.24,310.67
2022-02-10,169.15,301.52
2022-02-11,165.73,286.67
2022-02-12,,
2022-02-13,,
2022-02-14,165.97,291.92
2022-02-15,169.81,307.48
2022-02-16,169.58,307.8
2022-02-17,165.97,292.12
2022-02-18,164.42,285.66
2022-02-19,,
2022-02-20,,
2022-02-21,,
2022-02-22,161.49,273.84
2022-02-23,157.31,254.68
2022-02-24,159.94,266.92
2022-02-25,162.01,269.96
2022-02-26,,
2022-02-27,,
2022-02-28,162.27,290.14
2022-03-01,160.39,288.12
2022-03-02,163.69,293.3
2022-03-03,163.37,279.76
2022-03-04,160.36,279.43
2022-03-05,,
2022-03-06,,
2022-03-07,156.55,268.19
2022-03-08,154.73,274.8
2022-03-09,160.14,286.32
2022-03-10,155.79,279.43
2022-03-11,152.06,265.12
2022-03-12,,
2022-03-13,,
2022-03-14,148.02,255.46
2022-03-15,152.42,267.3
2022-03-16,156.84,280.08
2022-03-17,157.85,290.53
2022-03-18,161.15,301.8
2022-03-19,,
2022-03-20,,
2022-03-21,162.53,307.05
2022-03-22,165.91,331.33
2022-03-23,167.28,333.04
2022-03-24,171.07,337.97
2022-03-25,171.71,336.88
2022-03-26,,
2022-03-27,,
2022-03-28,172.57,363.95
2022-03-29,175.88,366.52
2022-03-30,174.71,364.66
2022-03-31,171.6,359.2
2022-04-01,171.31,361.53
2022-04-02,,
2022-04-03,,
2022-04-04,175.36,381.82
2022-04-05,172.04,363.75
2022-04-06,168.87,348.59
2022-04-07,169.17,352.42
2022-04-08,167.16,341.83
2022-04-09,,
2022-04-10,,
2022-04-11,162.89,325.31
2022-04-12,164.77,328.98
2022-04-13,167.46,340.79
2022-04-14,162.44,328.33
2022-04-15,,
2022-04-16,,
2022-04-17,,
2022-04-18,162.23,334.76
2022-04-19,164.52,342.72
2022-04-20,164.35,325.73
2022-04-21,163.55,336.26
2022-04-22,159.0,335.02
2022-04-23,,
2022-04-24,,
2022-04-25,160.07,332.67
2022-04-26,154.1,292.14
2022-04-27,153.87,293.84
2022-04-28,160.82,292.5
2022-04-29,154.93,290.25
2022-04-30,,
2022-05-01,,
2022-05-02,155.24,300.98
2022-05-03,156.73,303.08
2022-05-04,163.16,317.54
2022-05-05,154.07,291.09
2022-05-06,154.8,288.55
2022-05-07,,
2022-05-08,,
2022-05-09,149.66,262.37
2022-05-10,152.07,266.68
2022-05-11,144.19,244.67
2022-05-12,140.31,242.67
2022-05-13,144.79,256.53
2022-05-14,,
2022-05-15,,
2022-05-16,143.24,241.46
2022-05-17,146.88,253.87
2022-05-18,138.6,236.6
2022-05-19,135.18,236.47
2022-05-20,135.42,221.3
2022-05-21,,
2022-05-22,,
2022-05-23,140.85,224.97
2022-05-24,138.14,209.39
2022-05-25,138.3,219.6
2022-05-26,141.51,235.91
2022-05-27,147.28,253.21
