Date,OPEN,ZEPP,SLDP,COMM,WULF,WBX,WW,BE,RUN,MATV,FOSL,RDDT,ZIMV,SRFM,JOBY,ETHE,VHC,KSS,DQ,STEM,AMPX,SOFI,SNDX,KTOS,U,INBX,UAVS,AMLX,AEHR,SVRA
2024-02-08,3.33,4.72,1.6,2.14,2.03,1.53,,11.52,15.44,11.09,1.07,,19.49,7.98,5.78,18.13,7.02,23.65,19.5,63.4,4.3,8.08,22.0,17.74,33.41,,70.0,15.46,16.83,4.77
2024-02-09,3.51,4.92,1.63,2.18,2.2,1.56,,11.53,15.82,11.38,1.1,,19.5,7.7,5.93,18.55,7.01,23.67,19.83,66.8,4.14,8.13,22.1,18.26,33.82,,66.0,16.14,17.21,4.88
2024-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12,3.56,5.52,1.77,2.37,2.38,1.63,,12.32,16.98,12.05,1.11,,19.66,7.56,6.31,19.21,7.4,24.39,20.08,69.0,4.05,8.33,22.69,18.38,34.1,,64.0,16.25,18.11,5.0
2024-02-13,3.24,5.28,1.61,2.11,2.19,1.49,,11.25,15.23,11.23,1.05,,19.21,7.49,5.98,18.9,7.45,23.2,18.55,61.0,3.9,8.02,21.22,17.8,33.11,,59.0,14.96,17.02,4.78
2024-02-14,3.435,5.44,1.725,2.12,2.46,1.56,,11.71,16.83,11.43,1.06,,19.49,7.56,6.24,20.4,8.42,24.1,19.04,66.6,4.0,8.42,21.99,20.82,34.91,,56.0,15.07,18.78,5.0
2024-02-15,3.35,5.28,1.82,2.24,2.46,1.63,,11.97,17.0,12.0,1.1,,20.6,7.63,6.37,21.14,9.22,24.83,19.27,67.4,3.95,8.53,22.67,20.7,35.02,,73.0,15.38,18.15,4.97
2024-02-16,3.0,5.2,1.78,2.18,2.49,1.65,,9.88,16.42,11.88,1.04,,20.69,7.63,6.2,20.77,9.2,24.22,19.62,62.6,3.99,8.36,22.47,20.77,33.9,,69.5,15.88,17.69,4.97
2024-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-20,2.795,4.76,1.67,2.08,2.37,1.52,,8.92,15.89,11.38,1.05,,19.42,7.63,6.21,22.67,7.07,24.51,19.09,58.2,3.93,8.51,22.87,20.5,32.02,,62.0,14.91,16.95,4.82
2024-02-21,2.91,5.0,1.58,1.93,2.18,1.45,,8.96,15.58,11.09,1.13,,18.96,7.7,6.07,21.94,6.95,24.1,18.5,56.4,3.69,8.11,22.23,20.18,30.83,,64.0,15.31,17.1,4.8
2024-02-22,2.97,5.04,1.55,1.92,2.14,1.45,,8.6,12.78,15.82,1.18,,19.3,6.895,5.46,23.02,6.52,24.06,18.24,54.2,3.52,8.16,22.71,18.78,31.02,,60.5,18.54,16.1,4.91
2024-02-23,2.87,4.72,1.57,1.9,2.03,1.44,,8.58,11.9,15.38,1.08,,19.56,6.93,5.42,22.51,6.56,24.19,18.5,53.4,3.38,8.17,23.13,18.05,31.26,,57.5,17.65,15.86,5.12
2024-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-26,3.05,4.76,1.62,1.94,2.34,1.5,,8.7,11.38,15.36,1.07,,19.71,7.42,5.47,24.66,6.3,24.07,19.07,53.4,3.3,8.54,24.38,18.56,33.04,,53.5,17.56,16.18,5.22
2024-02-27,3.11,4.96,1.73,1.96,2.3,1.59,,9.32,11.88,16.01,1.08,,19.8,7.42,5.69,25.32,6.1,25.13,19.49,51.2,3.37,9.15,24.41,18.68,31.02,,53.0,19.0,16.54,5.3
2024-02-28,3.03,4.84,1.67,1.85,2.1,1.51,,8.99,11.8,15.64,1.05,,19.6,7.35,5.51,25.09,5.9,24.64,20.86,54.6,3.22,8.86,23.88,18.34,29.29,,60.0,19.57,15.93,5.09
2024-02-29,3.08,4.52,1.64,1.16,1.88,1.55,,8.77,12.04,16.37,1.06,,16.95,7.14,5.62,25.69,5.98,24.49,21.28,53.6,3.25,8.98,23.44,18.24,29.32,,64.5,18.85,16.27,5.05
2024-03-01,3.11,4.92,1.64,1.13,2.05,1.47,,9.08,12.18,16.59,1.03,,16.93,7.7,5.47,26.26,6.04,24.37,22.89,51.6,3.09,8.99,23.71,18.03,28.91,,64.5,18.71,17.66,5.16
2024-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04,3.03,4.72,1.53,1.02,1.91,1.39,,9.03,11.96,16.91,1.0,,17.15,7.7,5.36,27.74,6.07,24.34,22.93,50.4,2.93,8.58,23.3,18.0,27.01,,60.5,19.14,16.73,5.51
2024-03-05,2.78,4.68,1.49,1.04,1.73,1.36,,9.12,11.99,16.95,0.99,,16.62,7.35,5.14,25.38,6.01,24.67,22.49,44.4,2.91,7.27,22.94,17.82,26.89,,59.0,18.85,16.58,5.43
2024-03-06,2.95,4.68,1.48,1.1,1.87,1.37,,9.54,12.24,17.0,0.96,,17.41,7.49,5.27,29.31,6.01,23.86,24.3,44.6,2.72,7.4,23.75,18.17,27.06,,59.5,19.05,16.75,5.42
2024-03-07,2.97,4.64,1.5,1.17,1.84,1.48,,10.44,12.33,17.23,0.93,,17.72,7.21,5.35,30.12,5.81,23.57,25.86,42.0,2.72,7.47,23.47,18.63,27.34,,60.0,18.97,17.21,5.59
2024-03-08,3.06,4.64,1.52,1.25,2.01,1.44,,10.31,12.56,17.06,0.92,,17.61,7.49,5.41,30.69,5.85,23.96,28.05,43.4,2.66,7.71,24.57,18.49,27.06,,55.5,3.36,16.25,5.3
2024-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-11,2.91,4.52,1.46,1.4,1.82,1.45,,10.46,12.02,17.22,0.91,,16.83,7.14,5.46,30.39,5.63,23.89,28.92,39.8,2.95,7.68,23.57,18.14,27.1,,55.0,3.8,16.22,4.91
2024-03-12,2.86,4.76,1.48,1.6,1.76,1.45,,10.3,10.7,17.09,0.86,,16.65,6.818,5.42,28.87,5.6,22.28,29.41,40.6,2.84,7.48,23.86,17.93,25.98,,53.5,3.44,15.69,4.92
2024-03-13,2.86,4.82,1.46,1.55,1.74,1.43,,10.03,9.97,17.17,0.87,,16.78,6.51,5.35,28.93,5.49,22.22,29.21,37.8,2.87,7.38,23.76,17.54,26.18,,53.0,3.44,15.14,4.89
2024-03-14,2.63,4.6,1.37,1.46,1.67,1.43,,9.03,9.51,16.63,0.81,,16.31,6.363,5.11,26.16,5.4,22.08,27.11,35.6,2.78,7.05,22.65,17.38,26.0,,50.0,3.17,14.5,4.66
2024-03-15,2.67,4.68,1.38,1.51,1.78,1.48,,9.26,9.89,16.95,0.87,,16.47,6.335,5.08,26.25,5.67,21.8,26.69,37.0,2.83,7.03,23.52,17.1,26.09,,44.5,3.24,14.22,4.71
2024-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18,2.88,4.88,1.35,1.41,1.73,1.44,,9.78,10.26,16.82,0.85,,16.53,6.244,5.12,23.49,5.64,22.0,26.2,35.6,2.8,7.08,21.92,17.0,26.07,,45.5,2.86,14.52,4.71
2024-03-19,2.74,4.28,1.41,1.35,1.72,1.43,,9.47,10.39,16.63,0.93,,16.51,6.286,5.03,22.43,5.65,22.86,26.23,36.0,2.7,6.92,22.22,17.14,26.0,,41.0,2.93,14.36,4.86
2024-03-20,2.98,4.2,1.52,1.41,2.33,1.43,,9.59,11.48,17.09,1.01,,16.87,6.384,5.18,23.65,5.99,23.44,27.08,38.6,2.91,7.36,23.03,17.51,27.15,,39.0,2.97,14.98,4.89
2024-03-21,3.13,4.2,1.58,1.39,2.38,1.42,,9.82,11.76,16.98,0.96,50.44,16.41,6.538,5.26,23.83,6.59,24.66,26.81,45.0,2.96,7.44,22.88,17.77,27.57,,34.0,2.87,14.87,4.89
2024-03-22,2.98,3.88,1.56,1.32,2.46,1.42,,9.87,11.35,16.54,0.88,46.0,16.46,6.93,5.22,22.4,6.5,23.64,27.47,39.8,2.76,7.3,22.58,17.5,26.99,,34.0,2.74,14.66,4.8
2024-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25,2.95,3.65,1.59,1.27,2.57,1.42,,10.04,10.89,16.63,0.9,59.8,16.01,6.37,5.24,24.37,6.25,23.74,26.59,39.8,2.56,7.45,22.44,17.79,27.2,,37.0,2.71,11.37,4.82
2024-03-26,2.91,3.68,1.68,1.22,2.46,1.45,,10.8,11.28,16.85,0.89,65.11,15.92,5.74,5.37,23.34,6.31,23.58,26.34,37.2,2.56,7.2,21.44,17.79,26.7,,35.5,2.74,11.17,4.91
2024-03-27,2.95,4.12,1.92,1.27,2.7,1.42,,11.03,13.1,17.45,0.97,57.75,16.31,5.607,5.42,22.35,6.33,25.5,26.71,43.8,2.64,7.36,23.07,18.13,26.99,,39.0,2.88,12.46,4.85
2024-03-28,3.03,4.08,2.03,1.31,2.63,1.42,,11.24,13.18,17.77,1.02,49.32,16.49,5.901,5.36,23.27,6.34,26.13,28.15,43.8,2.65,7.3,23.8,18.38,26.7,,39.5,2.84,12.4,4.98
2024-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,2.91,4.04,1.98,1.32,2.43,1.52,,11.73,12.74,17.59,1.06,45.97,18.47,5.25,5.14,22.62,6.24,26.31,28.04,42.2,2.59,7.22,23.78,18.36,26.61,,37.0,2.71,12.35,4.84
2024-04-02,2.78,4.04,1.91,1.23,2.33,1.5,,11.75,11.72,17.68,1.02,50.45,17.35,4.886,4.92,20.95,6.14,24.74,26.98,38.8,2.38,7.2,23.29,18.05,26.25,,34.5,2.62,11.89,4.67
2024-04-03,2.87,3.88,1.84,1.16,2.33,1.5,,11.71,12.41,17.42,0.96,46.99,17.4,6.174,4.93,21.46,6.13,24.13,26.91,40.4,2.29,7.54,23.79,18.1,25.76,,31.5,2.63,11.6,4.79
2024-04-04,2.76,3.9,1.85,1.19,2.37,1.57,,11.79,12.12,17.54,0.94,45.78,16.92,6.447,4.9,21.49,6.16,23.03,26.7,40.2,2.15,7.31,22.62,17.64,25.32,,33.0,2.61,11.51,4.61
2024-04-05,2.7,3.8,1.84,1.16,2.35,1.64,,11.69,11.83,17.64,0.95,47.56,16.82,6.097,4.92,20.73,6.18,22.86,27.04,38.6,2.04,7.4,22.89,17.8,25.36,,34.0,2.62,11.34,4.78
2024-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,2.69,3.88,1.83,1.24,2.23,1.67,,11.67,11.88,17.42,0.99,46.15,16.87,6.034,4.91,24.22,6.02,22.4,25.92,40.6,2.11,7.76,22.81,18.51,26.21,,36.5,2.69,11.63,4.68
2024-04-09,2.74,3.8,1.83,1.21,2.22,1.62,,11.88,13.02,17.61,1.01,45.0,16.99,6.034,4.94,22.73,5.97,22.1,26.96,39.8,2.03,7.89,23.0,18.33,27.08,,39.5,2.67,11.78,4.9
2024-04-10,2.45,3.64,1.76,1.14,2.18,1.48,,11.42,12.29,16.81,0.96,42.09,17.04,5.775,4.72,22.7,5.99,20.81,25.71,37.0,1.84,7.56,22.01,18.1,25.92,,36.0,2.46,11.53,4.74
2024-04-11,2.46,3.68,1.73,1.13,2.14,1.46,,11.38,11.85,16.93,0.95,44.53,16.94,4.991,4.83,22.89,5.79,21.23,24.91,36.4,1.95,7.64,22.32,18.23,26.05,,34.5,2.29,11.83,5.34
2024-04-12,2.34,3.6,1.61,1.07,2.04,1.43,,10.74,11.64,16.51,0.9,42.27,15.9,4.368,4.62,21.17,5.73,20.38,23.34,35.0,1.88,7.33,21.72,18.21,25.31,,35.5,2.1,11.7,5.07
2024-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,2.19,3.59,1.58,1.0,1.94,1.38,,10.24,10.69,16.5,0.83,40.0,15.74,3.605,4.68,19.99,5.71,19.93,23.73,31.8,1.78,7.12,21.62,17.74,24.43,,36.0,2.07,11.55,5.04
2024-04-16,2.16,3.4,1.6,0.99,1.88,1.38,,9.88,10.33,16.52,0.8,41.14,15.69,3.08,4.6,19.36,5.6,19.74,23.36,31.6,1.69,7.2,21.28,17.63,23.94,,33.0,2.01,11.59,5.16
2024-04-17,2.16,3.3,1.59,0.99,1.96,1.31,,9.8,10.85,16.32,0.78,39.17,15.33,2.702,4.61,18.84,5.68,19.6,22.39,31.6,1.73,7.16,20.74,17.75,23.72,,32.0,2.0,11.15,4.96
2024-04-18,2.155,3.3,1.58,0.95,2.13,1.27,,9.75,10.11,16.68,0.78,41.72,15.68,3.465,4.57,19.25,5.49,20.49,22.71,31.8,1.76,7.13,20.49,17.61,23.43,,31.0,1.98,10.82,4.79
2024-04-19,2.17,3.34,1.64,0.92,2.29,1.29,,9.63,10.25,16.95,0.85,40.88,15.43,3.99,4.54,19.99,5.33,20.79,22.11,31.0,1.76,7.11,20.8,18.02,22.89,,32.0,1.87,10.36,4.81
2024-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,2.17,3.36,1.66,1.02,2.58,1.36,,9.32,10.05,16.92,0.85,42.04,15.49,3.437,4.7,20.4,5.5,22.14,22.29,32.4,1.69,7.25,20.96,17.83,22.89,,32.5,1.98,10.59,4.7
2024-04-23,2.23,3.4,1.71,1.0,2.71,1.42,,9.83,10.27,17.24,0.84,42.82,16.05,3.451,4.87,20.31,5.56,22.77,23.01,34.0,1.75,7.58,20.97,17.84,23.1,,37.0,1.95,10.56,4.69
2024-04-24,2.15,3.4,1.69,1.06,2.52,1.39,,9.64,10.02,17.38,0.81,43.15,15.81,3.29,4.88,19.95,5.42,22.32,23.75,34.6,1.65,7.6,20.79,17.77,23.57,,38.0,1.88,11.14,4.24
2024-04-25,2.07,3.36,1.64,0.92,2.49,1.43,,9.55,9.71,16.91,0.79,42.45,15.48,3.185,5.1,20.06,5.39,21.77,23.56,33.2,1.61,7.59,20.57,17.28,23.32,,36.0,1.78,11.3,4.45
2024-04-26,2.14,3.41,1.71,0.94,2.47,1.49,,10.6,10.29,16.95,0.79,45.43,15.82,3.178,5.35,19.99,5.46,21.99,23.74,36.6,1.74,7.87,21.06,18.86,24.13,,34.0,1.76,11.47,4.41
2024-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-29,2.125,3.48,1.68,0.98,2.33,1.52,,10.99,10.72,17.59,0.78,46.28,15.67,3.15,5.19,20.28,5.39,21.92,21.55,37.8,1.88,7.05,21.28,18.66,24.99,,35.0,1.9,12.1,4.61
2024-04-30,1.99,3.36,1.69,0.89,2.17,1.41,,11.13,10.29,17.31,0.78,44.44,15.2,3.129,5.05,18.35,5.26,21.46,19.2,36.8,1.87,6.78,21.13,17.82,24.27,,34.5,1.81,11.98,4.58
2024-05-01,2.0,3.4,1.73,0.87,2.12,1.48,,11.31,10.07,17.06,0.8,45.88,15.5,3.017,5.22,18.43,5.25,21.11,18.76,37.0,2.01,6.92,21.97,18.19,24.55,,33.0,1.93,11.73,4.95
2024-05-02,2.03,3.62,1.83,1.05,2.17,1.51,,11.44,10.95,17.39,0.9,47.7,15.83,2.933,5.38,19.26,5.1,22.1,19.14,38.2,2.16,6.99,21.86,18.09,24.16,,33.5,2.0,11.76,4.68
2024-05-03,2.21,3.48,1.82,0.99,2.19,1.54,,11.8,11.9,17.29,1.01,46.64,15.8,2.989,5.38,20.03,5.19,21.68,18.91,27.2,2.19,6.96,22.05,18.54,24.74,,33.5,2.03,11.64,4.705
2024-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06,2.35,3.61,1.91,0.93,2.42,1.6,,12.2,11.99,17.45,1.01,48.27,15.82,2.975,5.53,19.84,4.96,21.89,19.02,28.0,2.33,7.16,22.5,19.01,25.49,,35.0,1.99,11.65,4.95
2024-05-07,2.25,3.54,1.79,0.98,2.33,1.64,,11.77,11.78,17.19,0.97,49.4,16.05,2.94,5.37,19.76,4.85,21.56,18.76,25.8,2.07,7.06,23.18,18.76,25.32,,34.0,1.97,11.48,5.26
2024-05-08,2.12,3.36,1.74,1.05,2.33,1.49,,11.8,11.51,17.56,0.97,51.4,15.38,3.059,4.89,19.04,4.8,21.46,18.58,27.2,2.16,7.05,22.38,19.84,24.1,,34.0,1.93,11.25,4.99
2024-05-09,2.3,3.53,1.77,1.11,2.36,1.5,,11.74,12.41,17.52,0.92,50.11,16.97,3.129,5.19,19.19,4.73,21.48,18.99,26.8,2.22,7.06,21.97,19.73,24.16,,34.0,1.89,11.44,5.07
2024-05-10,2.32,3.45,1.72,1.05,2.23,1.42,,11.16,11.26,17.19,0.97,53.53,16.65,2.954,5.06,18.51,4.61,21.45,17.93,24.0,1.97,6.94,21.75,19.85,21.69,,33.5,1.75,11.14,4.655
2024-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-13,2.48,3.46,1.88,1.03,2.24,1.42,,11.55,11.52,16.15,1.03,58.19,16.82,3.283,5.05,18.96,4.83,23.24,18.82,24.2,1.42,7.11,20.97,19.52,22.69,,35.5,1.82,11.62,4.59
2024-05-14,2.45,3.54,1.99,1.17,2.04,1.47,,12.48,12.27,16.86,1.22,62.34,16.68,3.346,5.39,18.59,4.85,23.96,19.26,27.4,1.3,7.47,21.66,20.06,23.03,,37.0,1.87,11.62,4.81
2024-05-15,2.48,3.44,1.83,1.15,2.12,1.52,,12.86,12.09,16.85,1.13,59.63,16.68,2.891,5.14,19.7,4.51,23.01,19.14,26.6,1.32,7.27,21.94,20.31,22.38,,35.0,1.82,11.35,4.83
2024-05-16,2.435,3.44,1.78,1.18,2.02,1.51,,12.23,12.25,17.01,1.25,56.38,16.98,2.8,5.02,19.4,4.68,22.66,18.94,27.4,1.3,7.12,20.92,20.59,22.09,,34.5,1.83,11.54,4.72
2024-05-17,2.41,3.56,1.75,1.32,1.95,1.49,,12.33,11.89,17.36,1.31,62.04,17.02,2.73,5.04,20.64,4.61,23.08,18.71,25.4,1.37,7.28,20.29,21.03,21.67,,33.5,1.83,11.37,4.48
2024-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-20,2.42,3.74,1.72,1.34,2.13,1.48,,12.92,11.42,17.52,1.45,61.22,17.03,2.737,4.95,25.54,4.77,23.45,18.81,26.0,1.42,7.19,20.25,21.64,21.27,,34.5,1.84,11.61,4.17
2024-05-21,2.25,3.34,1.69,1.26,2.04,1.48,,15.13,11.97,18.06,1.41,59.31,17.28,2.597,4.89,29.15,4.65,23.3,19.11,24.8,1.33,7.08,20.66,21.7,20.56,,34.5,1.8,11.49,4.3
2024-05-22,2.2,3.09,1.72,1.32,2.16,1.52,,17.0,12.92,17.9,1.43,56.69,17.42,2.541,4.87,29.16,4.72,22.95,22.37,27.2,1.46,7.02,20.76,21.41,20.45,,33.5,1.83,12.14,4.33
2024-05-23,2.12,3.12,1.64,1.25,1.99,1.48,,15.73,11.99,17.92,1.27,54.16,16.72,2.569,4.81,30.07,4.6,23.44,20.21,26.2,1.4,6.83,20.11,21.2,19.6,,31.5,1.78,11.42,4.17
2024-05-24,2.13,3.08,1.78,1.16,2.07,1.51,,16.29,13.39,17.84,1.31,54.72,16.79,2.352,4.91,31.11,4.13,23.75,20.39,26.0,1.45,6.92,20.28,21.54,19.4,,31.5,1.73,11.64,4.08
2024-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
