Date,OPEN,ZEPP,SLDP,COMM,WULF,WBX,WW,BE,RUN,MATV,FOSL,RDDT,ZIMV,SRFM,JOBY,ETHE,VHC,KSS,DQ,STEM,AMPX,SOFI,SNDX,KTOS,U,INBX,UAVS,AMLX,AEHR,SVRA
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,4.28,5.76,1.34,2.86,2.3,1.67,,14.76,19.46,14.96,1.51,,17.98,10.22,6.18,17.31,6.49,24.64,25.18,74.8,4.0,9.65,21.86,19.76,38.79,,110.0,14.97,24.95,4.37
2024-01-03,4.03,5.56,1.29,2.78,2.15,1.62,,14.02,18.44,13.86,1.45,,17.11,9.03,5.98,16.8,6.39,23.21,24.28,69.6,4.45,8.31,21.05,18.5,36.93,,100.0,16.02,23.07,4.37
2024-01-04,4.02,5.76,1.42,2.73,2.19,1.63,,13.91,17.06,13.75,1.41,,16.9,9.17,6.05,17.55,6.37,23.3,23.6,71.4,4.77,8.42,21.08,18.53,37.05,,100.0,16.64,22.57,4.35
2024-01-05,3.625,5.88,1.33,2.74,1.93,1.61,,13.77,16.16,14.07,1.45,,16.89,8.12,6.09,17.22,6.08,23.23,23.61,70.2,4.6,8.22,21.49,18.3,37.78,,100.0,16.83,22.49,4.35
2024-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,3.95,6.24,1.49,2.7,2.06,1.66,,13.89,16.64,14.11,1.49,,17.78,9.24,6.37,16.84,6.02,23.87,23.21,73.8,4.65,8.53,22.79,18.51,38.98,,110.0,16.87,22.01,4.51
2024-01-09,3.7,6.32,1.38,2.69,2.03,1.68,,13.32,16.3,12.56,1.42,,17.43,9.1,6.15,16.43,6.07,24.44,23.15,73.8,4.55,8.32,22.64,18.13,35.87,,100.0,16.4,22.35,4.28
2024-01-10,3.68,7.84,1.34,2.64,2.12,1.67,,13.47,16.31,12.76,1.39,,18.12,9.8,6.07,18.68,6.19,24.45,22.91,72.2,4.39,8.48,22.6,18.58,37.13,,100.0,16.16,18.59,4.3
2024-01-11,3.56,7.2,1.29,2.47,1.92,1.7,,12.97,15.77,12.47,1.34,,17.84,9.45,5.99,19.47,6.29,23.49,22.7,71.0,4.53,8.17,22.19,18.41,34.82,,100.0,16.22,18.23,4.19
2024-01-12,3.51,6.4,1.26,2.47,1.7,1.62,,12.73,15.1,12.34,1.31,,17.36,9.38,5.89,18.47,6.26,22.95,22.88,66.0,5.0,7.89,22.24,18.96,34.59,,100.0,15.79,17.47,4.27
2024-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-16,3.22,6.4,1.19,2.42,1.51,1.46,,11.85,14.21,12.26,1.3,,17.02,9.73,5.69,19.21,6.21,22.49,21.39,55.2,4.69,7.72,22.36,18.66,34.1,,100.0,15.52,17.29,4.26
2024-01-17,3.12,6.08,1.19,2.32,1.43,1.48,,11.26,13.62,12.15,1.34,,16.76,9.1,5.69,18.2,6.29,21.92,20.7,56.0,4.86,7.53,21.65,18.36,32.98,,100.0,15.08,17.14,4.41
2024-01-18,3.01,6.2,1.17,2.37,1.31,1.42,,11.27,13.21,11.95,1.25,,17.14,9.24,5.6,17.13,6.25,21.61,21.27,55.0,4.55,7.41,21.31,18.51,32.87,,90.0,14.88,17.12,4.27
2024-01-19,3.15,6.4,1.18,2.38,1.38,1.46,,11.4,13.17,11.76,1.24,,17.82,8.89,5.63,18.07,6.27,21.88,20.38,56.2,4.32,7.49,20.68,18.35,33.14,,90.0,15.01,16.6,4.41
2024-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22,3.49,6.08,1.17,2.3,1.45,1.53,,12.06,13.77,12.71,1.28,,18.09,8.96,5.87,16.91,6.19,22.9,20.09,63.0,4.43,7.92,20.85,18.59,34.22,,80.0,14.69,16.39,4.61
2024-01-23,3.36,6.4,1.49,2.46,1.43,1.58,,11.93,14.21,13.19,1.32,,17.73,8.89,5.96,15.58,6.09,22.71,20.96,66.2,4.47,7.75,21.23,18.06,34.28,,90.0,14.61,16.75,5.05
2024-01-24,3.22,6.08,1.34,2.41,1.44,1.53,,11.87,13.54,13.2,1.29,,17.52,8.19,5.76,15.85,6.1,23.49,19.63,62.6,4.31,7.56,19.71,17.39,33.03,,90.0,14.37,16.93,4.94
2024-01-25,3.38,5.6,1.405,2.45,1.52,1.44,,12.47,14.33,12.38,1.27,,17.69,7.84,5.72,16.09,6.11,24.16,19.66,65.0,4.16,7.65,19.85,17.46,32.88,,90.0,15.37,16.35,4.98
2024-01-26,3.35,5.6,1.46,2.41,1.69,1.46,,12.47,14.32,12.27,1.21,,18.76,7.7,5.63,17.07,6.16,25.21,19.18,62.8,4.12,7.62,20.22,17.2,33.11,,90.0,15.38,15.76,4.8
2024-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,3.72,5.2,1.73,2.49,1.88,1.53,,11.9,14.98,12.28,1.2,,18.97,8.4,6.13,17.66,6.4,24.66,19.02,67.2,4.24,9.16,21.1,17.63,34.6,,90.0,15.79,16.19,4.99
2024-01-30,3.55,5.0,1.64,2.45,1.88,1.49,,11.36,14.71,11.86,1.2,,17.27,7.91,5.73,17.9,6.83,23.57,18.46,61.2,4.19,8.4,20.32,17.28,33.51,,80.0,15.62,15.8,5.05
2024-01-31,3.42,4.88,1.62,2.32,1.67,1.46,,11.32,14.48,11.34,1.16,,17.48,8.33,5.46,17.14,7.06,22.63,18.05,59.2,4.09,7.83,20.49,16.93,32.4,,70.0,16.0,14.85,4.94
2024-02-01,3.53,4.84,1.78,2.35,1.83,1.44,,12.01,14.9,11.06,1.11,,17.84,8.33,5.68,17.3,7.42,23.06,18.18,61.6,4.14,7.73,21.24,17.24,31.97,,70.0,16.57,15.1,5.06
2024-02-02,3.5,4.76,1.7,2.24,1.78,1.4,,11.6,14.34,10.85,1.11,,17.96,8.82,5.72,16.91,7.62,23.2,17.85,59.8,4.07,7.88,20.59,17.04,32.84,,70.0,15.78,15.06,4.85
2024-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,3.21,4.72,1.54,2.09,1.56,1.44,,11.03,13.63,10.65,1.08,,17.78,8.61,5.52,16.73,7.64,22.45,17.79,56.0,4.05,7.58,21.29,17.44,31.46,,70.0,15.3,14.7,4.71
2024-02-06,3.28,4.92,1.665,2.21,1.7,1.54,,11.31,14.47,10.73,1.07,,18.42,8.12,5.85,17.56,7.5,23.55,18.15,61.0,4.55,7.8,22.63,17.73,32.05,,70.0,15.56,15.04,4.8
2024-02-07,3.215,4.88,1.54,2.15,1.72,1.44,,11.3,15.31,10.7,1.07,,19.05,7.98,5.65,18.07,7.24,22.9,19.4,61.4,4.41,7.66,22.28,17.67,32.52,,70.0,15.12,15.36,4.73
