Date,A,AA,AACT,AAL,AAP,AAPL,AASCX,AASMX,AAUTX,ABBV,ABCL,ABEV,ABLOX,ABM,ABT,ACCO,ACFCX,ACFDX,ACFGX,ACFNX,ACFOX,ACFSX,ACGL,ACILX,ACLS,ACMR,ACN,ACRE,ACSLX,ACTVX
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,82.71,20.52,,28.98,142.09,72.54,19.11,13.96,17.4,70.33,,3.7533,13.9,34.46,78.56,6.964,29.87,30.29,31.64,31.5,30.7,30.98,41.27,,24.52,6.31,192.52,7.7833,45.78,79.54
2020-01-03,81.38,20.59,,27.55,142.1,71.83,19.05,13.94,17.22,69.66,,3.7057,13.84,34.37,77.6,6.8723,29.78,30.19,31.54,31.4,30.6,30.87,41.22,,24.79,6.37,192.19,7.7983,45.42,79.9
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,81.62,20.11,,27.22,139.76,72.41,19.01,13.92,17.24,70.21,,3.666,13.87,34.36,78.0,6.9411,30.16,30.57,31.94,31.8,30.98,31.27,41.38,,24.19,7.0,190.94,7.7833,45.76,79.85
2020-01-07,81.87,20.42,,27.12,138.1,72.07,18.99,13.87,17.16,69.81,,3.6739,13.83,34.07,77.57,6.7805,30.22,30.65,32.02,31.88,31.06,31.33,41.04,,24.38,8.17,186.82,7.7883,45.69,79.78
2020-01-08,82.68,19.6,,27.74,136.52,73.22,19.02,13.9,17.22,70.3,,3.6819,13.87,34.44,77.89,6.7576,30.55,30.98,32.36,32.22,31.39,31.67,40.63,,24.76,8.26,187.18,7.8827,46.12,79.64
2020-01-09,83.98,18.97,,27.85,136.26,74.78,19.12,13.96,17.3,70.85,,3.6342,13.93,34.73,78.1,6.6429,30.7,31.12,32.52,32.37,31.55,31.83,41.46,,24.65,7.83,188.85,7.9474,46.52,79.64
2020-01-10,84.29,18.63,,27.22,132.82,74.95,19.0,13.9,17.21,69.94,,3.658,13.9,34.68,77.12,6.75,30.63,31.05,32.44,32.3,31.48,31.76,41.39,,24.23,7.88,190.23,8.0219,46.46,79.77
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,84.16,18.78,,27.29,129.48,76.55,19.17,13.97,17.3,69.52,,3.6501,13.96,35.18,76.9,6.8876,30.96,31.39,32.8,32.65,31.82,32.1,41.54,,24.43,8.76,192.0,8.0716,46.79,79.71
2020-01-14,84.67,19.51,,27.43,132.72,75.52,19.23,13.99,17.32,70.2,,3.6342,13.95,35.25,77.79,6.9487,30.81,31.25,32.65,32.51,31.67,31.96,41.53,,24.59,10.53,190.3,8.0666,46.62,79.88
2020-01-15,85.28,19.33,,27.48,133.89,75.19,19.25,14.0,17.3,71.05,,3.539,13.98,35.23,79.28,7.0328,30.93,31.36,32.76,32.62,31.79,32.07,41.89,,24.25,11.72,190.6,8.1014,46.71,80.0
2020-01-16,86.09,17.03,,28.13,135.43,76.13,19.46,14.16,17.44,71.05,,3.5232,14.07,36.24,80.1,7.1016,31.13,31.58,32.99,32.84,32.0,32.28,42.37,,25.35,12.1,192.18,8.1561,47.11,79.89
2020-01-17,86.72,16.94,,28.3,134.64,76.98,19.49,14.17,17.5,70.04,,3.5152,14.12,35.69,80.75,6.9946,31.19,31.64,33.05,32.91,32.06,32.34,42.95,,25.03,12.03,192.39,8.1462,47.35,79.88
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,86.23,16.4,,27.1,132.81,76.46,19.39,14.05,17.36,70.04,,3.4993,14.08,35.38,81.41,6.9564,31.31,31.75,33.18,33.03,32.19,32.47,42.93,,25.06,14.22,192.34,8.181,47.3,80.13
2020-01-22,86.73,15.89,,27.22,131.61,76.73,19.4,14.03,17.35,69.41,,3.5946,14.08,35.66,83.34,6.9564,31.33,31.76,33.2,33.04,32.2,32.49,43.25,,24.84,16.18,192.58,8.2207,47.35,80.12
2020-01-23,85.71,15.6,,28.69,133.46,77.1,19.45,14.05,17.32,67.87,,3.5311,14.1,35.25,82.32,6.9564,31.37,31.81,33.25,33.1,32.24,32.54,43.02,,25.2,13.42,193.75,8.002,47.43,80.26
2020-01-24,84.93,14.85,,27.54,126.29,76.88,19.26,13.87,17.1,66.49,,3.5787,14.02,35.02,82.02,6.9487,31.05,31.48,32.9,32.75,31.9,32.2,42.78,,25.02,11.9,191.81,8.0219,46.93,80.45
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,83.3,14.24,,26.01,123.95,74.62,18.95,13.68,16.83,66.88,,3.4755,13.89,35.02,81.28,6.9564,30.55,30.98,32.38,32.23,31.4,31.68,42.36,,23.71,12.52,189.95,8.0617,46.09,80.81
2020-01-28,83.89,14.09,,26.8,123.52,76.73,19.13,13.77,16.99,66.68,,3.5549,13.97,35.09,81.24,6.8952,31.0,31.43,32.85,32.7,31.86,32.15,42.47,,24.57,12.69,193.34,8.1014,46.7,80.64
2020-01-29,83.95,13.89,,26.7,123.5,78.33,19.03,13.69,16.92,66.22,,3.3883,13.99,35.0,80.88,6.7576,31.13,31.57,33.0,32.85,32.0,32.28,41.96,,24.06,12.35,191.25,8.1661,46.81,80.9
2020-01-30,81.2,13.69,,27.62,120.57,78.22,19.02,13.67,16.99,65.09,,3.3883,14.02,34.87,80.89,6.9028,31.35,31.79,33.23,33.08,32.22,32.52,42.3,,24.5,12.01,191.62,8.1909,46.84,80.99
2020-01-31,79.45,13.36,,26.74,117.43,74.75,18.64,13.42,16.66,64.49,,3.301,13.86,34.21,79.06,6.6047,31.0,31.43,32.86,32.7,31.87,32.15,41.99,,24.15,11.58,188.72,8.1213,45.96,81.31
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,79.05,13.64,,27.06,118.24,74.55,18.79,13.54,16.75,65.51,,3.2772,13.9,34.74,78.99,6.62,31.86,32.31,33.78,33.62,32.75,33.05,42.49,,24.62,11.84,191.1,8.1909,46.56,81.27
2020-02-04,80.37,14.08,,28.43,117.27,77.01,19.03,13.7,17.0,67.15,,3.2454,14.04,35.74,80.05,6.6964,32.73,33.19,34.7,34.54,33.65,33.95,42.67,,25.25,12.78,195.45,8.3152,47.4,80.95
2020-02-05,81.73,15.14,,29.1,122.13,77.63,19.31,13.9,17.32,68.95,,3.2296,14.12,36.37,81.26,7.0099,32.26,32.72,34.21,34.04,33.16,33.47,43.48,,25.89,11.78,195.16,8.3698,47.8,80.73
2020-02-06,81.62,15.25,,28.3,119.77,78.54,19.37,13.84,17.32,69.39,,3.0867,14.17,35.45,81.18,7.0404,32.31,32.78,34.27,34.11,33.22,33.53,43.87,,27.99,12.33,196.95,8.3798,48.16,80.73
2020-02-07,80.04,14.89,,28.38,118.49,77.47,19.22,13.7,17.22,73.46,,3.0947,14.13,34.46,79.72,7.0328,32.36,32.83,34.33,34.16,33.27,33.57,43.88,,26.83,12.01,194.57,8.2754,47.89,80.99
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,81.25,14.77,,28.79,116.48,77.84,19.28,13.73,17.29,75.42,,3.0232,14.2,34.57,80.11,6.964,33.04,33.5,35.03,34.87,33.97,34.27,44.48,,28.38,13.86,195.47,8.2406,48.38,81.13
2020-02-11,81.88,15.08,,29.84,117.76,77.37,19.48,13.87,17.35,76.41,,3.0232,14.2,34.96,80.9,7.0022,33.19,33.66,35.2,35.03,34.12,34.43,45.41,,28.76,13.1,195.09,8.2605,48.38,80.99
2020-02-12,82.21,15.09,,30.47,119.73,79.21,19.62,13.96,17.44,77.84,,2.9915,14.26,35.15,80.56,7.8813,33.5,33.97,35.52,35.35,34.43,34.75,44.73,,28.35,13.59,194.95,8.3251,48.86,80.84
