Symbol,n_change,n_gain,gain_ratio,relative_change,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean,start_date,end_date,date_trailing_end
FGSKX,380,213,0.56,0.5,60,32,0.53,0.2396694214876034,0.4758,503,2024-01-02,2025-07-10,2025-04-14
POWL,380,196,0.52,1.38,60,31,0.52,0.23958333333333326,0.4755,505,2024-01-02,2025-07-10,2025-04-14
BKD,380,180,0.47,0.3500000000000001,60,34,0.57,0.23853211009174302,0.4737,506,2024-01-02,2025-07-10,2025-04-14
DG,380,184,0.48,-0.17000000000000004,60,26,0.43,0.23880597014925353,0.4733,507,2024-01-02,2025-07-10,2025-04-14
SA,380,189,0.5,0.30000000000000004,60,33,0.55,0.23809523809523814,0.4728,508,2024-01-02,2025-07-10,2025-04-14
CVE,380,198,0.52,-0.10999999999999999,60,31,0.52,0.23611111111111116,0.4687,509,2024-01-02,2025-07-10,2025-04-14
ONON,380,183,0.48,0.99,60,29,0.48,0.2360248447204969,0.4682,510,2024-01-02,2025-07-10,2025-04-14
ACFDX,380,214,0.56,0.52,60,33,0.55,0.2357723577235773,0.4682,510,2024-01-02,2025-07-10,2025-04-14
FGLGX,380,222,0.58,0.47,60,40,0.67,0.23529411764705888,0.4678,512,2024-01-02,2025-07-10,2025-04-14
FGSCX,380,211,0.56,0.47,60,32,0.53,0.23529411764705888,0.4672,513,2024-01-02,2025-07-10,2025-04-14
JDCRX,380,205,0.54,0.41999999999999993,60,36,0.6,0.23478260869565215,0.4665,514,2024-01-02,2025-07-10,2025-04-14
JARTX,380,205,0.54,0.41999999999999993,60,36,0.6,0.23478260869565215,0.4665,514,2024-01-02,2025-07-10,2025-04-14
TRGAX,380,197,0.52,0.20999999999999996,60,38,0.63,0.23469387755102034,0.4665,514,2024-01-02,2025-07-10,2025-04-14
JPM,380,220,0.58,0.74,60,38,0.63,0.23404255319148937,0.4652,517,2024-01-02,2025-07-10,2025-04-14
GABGX,380,209,0.55,0.53,60,35,0.58,0.2338709677419355,0.4646,518,2024-01-02,2025-07-10,2025-04-14
ACFSX,380,213,0.56,0.53,60,33,0.55,0.2338709677419355,0.4645,519,2024-01-02,2025-07-10,2025-04-14
ACFNX,380,214,0.56,0.53,60,33,0.55,0.2338709677419355,0.4645,519,2024-01-02,2025-07-10,2025-04-14
GGCAX,380,210,0.55,0.53,60,34,0.57,0.2338709677419355,0.4645,519,2024-01-02,2025-07-10,2025-04-14
GGOCX,380,191,0.5,0.32000000000000006,60,38,0.63,0.23364485981308403,0.4644,522,2024-01-02,2025-07-10,2025-04-14
ETG,380,220,0.58,0.42999999999999994,60,44,0.73,0.23275862068965525,0.4631,523,2024-01-02,2025-07-10,2025-04-14
CYPSX,380,197,0.52,0.27,60,34,0.57,0.23300970873786397,0.4628,524,2024-01-02,2025-07-10,2025-04-14
LAUR,380,205,0.54,0.8,60,36,0.6,0.23287671232876717,0.4628,524,2024-01-02,2025-07-10,2025-04-14
JFRDX,380,206,0.54,0.42999999999999994,60,36,0.6,0.23275862068965525,0.4625,526,2024-01-02,2025-07-10,2025-04-14
JFRNX,380,207,0.54,0.42999999999999994,60,36,0.6,0.23275862068965525,0.4625,526,2024-01-02,2025-07-10,2025-04-14
JDCAX,380,207,0.54,0.42999999999999994,60,36,0.6,0.23275862068965525,0.4625,526,2024-01-02,2025-07-10,2025-04-14
JACTX,380,207,0.54,0.42999999999999994,60,36,0.6,0.23275862068965525,0.4625,526,2024-01-02,2025-07-10,2025-04-14
JCAPX,380,207,0.54,0.42999999999999994,60,36,0.6,0.23275862068965525,0.4625,526,2024-01-02,2025-07-10,2025-04-14
YALA,380,184,0.48,0.27,60,28,0.47,0.23300970873786397,0.4622,531,2024-01-02,2025-07-10,2025-04-14
POAGX,380,202,0.53,0.21999999999999997,60,39,0.65,0.23232323232323226,0.4619,532,2024-01-02,2025-07-10,2025-04-14
FRMPX,380,195,0.51,0.21999999999999997,60,35,0.58,0.23232323232323226,0.4616,533,2024-01-02,2025-07-10,2025-04-14
CMA,380,194,0.51,0.21999999999999997,60,34,0.57,0.23232323232323226,0.4615,534,2024-01-02,2025-07-10,2025-04-14
IAXTX,380,201,0.53,0.3799999999999999,60,34,0.57,0.23214285714285698,0.4611,535,2024-01-02,2025-07-10,2025-04-14
ACFGX,380,213,0.56,0.54,60,33,0.55,0.23199999999999998,0.4608,536,2024-01-02,2025-07-10,2025-04-14
GGOSX,380,189,0.5,0.33000000000000007,60,37,0.62,0.2314814814814814,0.4601,537,2024-01-02,2025-07-10,2025-04-14
FGSAX,380,213,0.56,0.49,60,32,0.53,0.23140495867768607,0.4595,538,2024-01-02,2025-07-10,2025-04-14
GRAB,380,180,0.47,0.49,60,30,0.5,0.23140495867768607,0.4593,539,2024-01-02,2025-07-10,2025-04-14
FALAX,380,220,0.58,0.43999999999999995,60,40,0.67,0.23076923076923084,0.4589,540,2024-01-02,2025-07-10,2025-04-14
TEGAX,380,204,0.54,0.28,60,37,0.62,0.23076923076923084,0.4587,541,2024-01-02,2025-07-10,2025-04-14
TEGIX,380,204,0.54,0.28,60,37,0.62,0.23076923076923084,0.4587,541,2024-01-02,2025-07-10,2025-04-14
TEGYX,380,203,0.53,0.28,60,37,0.62,0.23076923076923084,0.4587,541,2024-01-02,2025-07-10,2025-04-14
RCUS,380,178,0.47,-0.52,60,32,0.53,0.23076923076923062,0.4582,544,2024-01-02,2025-07-10,2025-04-14
PRDMX,380,210,0.55,0.3899999999999999,60,35,0.58,0.23008849557522137,0.4572,545,2024-01-02,2025-07-10,2025-04-14
VYRIX,380,203,0.53,0.3899999999999999,60,34,0.57,0.23008849557522137,0.4571,546,2024-01-02,2025-07-10,2025-04-14
HRAUX,380,211,0.56,0.22999999999999998,60,36,0.6,0.22999999999999998,0.4571,546,2024-01-02,2025-07-10,2025-04-14
FMPFX,380,196,0.52,0.22999999999999998,60,36,0.6,0.22999999999999998,0.4571,546,2024-01-02,2025-07-10,2025-04-14
HAGAX,380,210,0.55,0.22999999999999998,60,35,0.58,0.22999999999999998,0.457,549,2024-01-02,2025-07-10,2025-04-14
HAGIX,380,210,0.55,0.22999999999999998,60,35,0.58,0.22999999999999998,0.457,549,2024-01-02,2025-07-10,2025-04-14
BTI,380,219,0.58,0.9299999999999999,60,35,0.58,0.2292993630573248,0.4556,551,2024-01-02,2025-07-10,2025-04-14
FSCSX,380,205,0.54,0.17999999999999994,60,34,0.57,0.22916666666666674,0.4553,552,2024-01-02,2025-07-10,2025-04-14
DADGX,380,199,0.52,0.17999999999999994,60,33,0.55,0.22916666666666674,0.4552,553,2024-01-02,2025-07-10,2025-04-14
FLCSX,380,221,0.58,0.44999999999999996,60,40,0.67,0.22881355932203395,0.455,554,2024-01-02,2025-07-10,2025-04-14
FALIX,380,222,0.58,0.44999999999999996,60,40,0.67,0.22881355932203395,0.455,554,2024-01-02,2025-07-10,2025-04-14
FCLKX,380,214,0.56,0.44999999999999996,60,40,0.67,0.22881355932203395,0.455,554,2024-01-02,2025-07-10,2025-04-14
FIDLX,380,222,0.58,0.44999999999999996,60,40,0.67,0.22881355932203395,0.455,554,2024-01-02,2025-07-10,2025-04-14
NVGS,380,194,0.51,0.020000000000000018,60,35,0.58,0.2289156626506026,0.4549,558,2024-01-02,2025-07-10,2025-04-14
TRMK,380,196,0.52,0.44999999999999996,60,34,0.57,0.22881355932203395,0.4546,559,2024-01-02,2025-07-10,2025-04-14
CGOCX,380,203,0.53,0.29000000000000004,60,33,0.55,0.22857142857142865,0.454,560,2024-01-02,2025-07-10,2025-04-14
NBR,380,183,0.48,-0.5700000000000001,60,33,0.55,0.22857142857142865,0.454,560,2024-01-02,2025-07-10,2025-04-14
CSMIX,380,194,0.51,0.1299999999999999,60,34,0.57,0.2282608695652173,0.4535,562,2024-01-02,2025-07-10,2025-04-14
CSVRX,380,194,0.51,0.1299999999999999,60,34,0.57,0.2282608695652173,0.4535,562,2024-01-02,2025-07-10,2025-04-14
EXPE,380,200,0.53,0.24,60,35,0.58,0.2277227722772277,0.4525,564,2024-01-02,2025-07-10,2025-04-14
GGCCX,380,208,0.55,0.51,60,34,0.57,0.22764227642276436,0.4523,565,2024-01-02,2025-07-10,2025-04-14
ACFCX,380,213,0.56,0.51,60,33,0.55,0.22764227642276436,0.4522,566,2024-01-02,2025-07-10,2025-04-14
DNDGX,380,199,0.52,0.18999999999999995,60,34,0.57,0.2268041237113403,0.4506,567,2024-01-02,2025-07-10,2025-04-14
CGOAX,380,205,0.54,0.30000000000000004,60,35,0.58,0.2264150943396226,0.4499,568,2024-01-02,2025-07-10,2025-04-14
CCRIX,380,205,0.54,0.30000000000000004,60,35,0.58,0.2264150943396226,0.4499,568,2024-01-02,2025-07-10,2025-04-14
FNCMX,380,219,0.58,0.4099999999999999,60,38,0.63,0.22608695652173916,0.4495,570,2024-01-02,2025-07-10,2025-04-14
JACCX,380,204,0.54,0.4099999999999999,60,36,0.6,0.22608695652173916,0.4494,571,2024-01-02,2025-07-10,2025-04-14
ALGN,380,190,0.5,-0.24,60,38,0.63,0.22580645161290325,0.4489,572,2024-01-02,2025-07-10,2025-04-14
CSVYX,380,194,0.51,0.1399999999999999,60,34,0.57,0.22580645161290303,0.4486,573,2024-01-02,2025-07-10,2025-04-14
CUURX,380,194,0.51,0.1399999999999999,60,34,0.57,0.22580645161290303,0.4486,573,2024-01-02,2025-07-10,2025-04-14
ACFOX,380,213,0.56,0.52,60,33,0.55,0.22580645161290325,0.4485,575,2024-01-02,2025-07-10,2025-04-14
TSLA,380,187,0.49,0.25,60,33,0.55,0.22549019607843146,0.4479,576,2024-01-02,2025-07-10,2025-04-14
VTRS,380,181,0.48,-0.13,60,35,0.58,0.22535211267605648,0.4478,577,2024-01-02,2025-07-10,2025-04-14
FIFWX,380,210,0.55,0.47,60,38,0.63,0.2250000000000001,0.4474,578,2024-01-02,2025-07-10,2025-04-14
PDS,380,191,0.5,-0.020000000000000018,60,33,0.55,0.22499999999999987,0.447,579,2024-01-02,2025-07-10,2025-04-14
RPGIX,380,196,0.52,0.19999999999999996,60,38,0.63,0.22448979591836737,0.4463,580,2024-01-02,2025-07-10,2025-04-14
CMSCX,380,205,0.54,0.31000000000000005,60,36,0.6,0.22429906542056077,0.4458,581,2024-01-02,2025-07-10,2025-04-14
FLCCX,380,220,0.58,0.41999999999999993,60,40,0.67,0.22413793103448287,0.4458,581,2024-01-02,2025-07-10,2025-04-14
CSCRX,380,206,0.54,0.31000000000000005,60,36,0.6,0.22429906542056077,0.4458,581,2024-01-02,2025-07-10,2025-04-14
CSGYX,380,205,0.54,0.31000000000000005,60,35,0.58,0.22429906542056077,0.4457,584,2024-01-02,2025-07-10,2025-04-14
KVYO,380,188,0.49,0.19999999999999996,60,30,0.5,0.22448979591836737,0.4456,585,2024-01-02,2025-07-10,2025-04-14
AGCTX,380,205,0.54,0.26,60,42,0.7,0.2233009708737863,0.4442,586,2024-01-02,2025-07-10,2025-04-14
TOECX,380,203,0.53,0.26,60,37,0.62,0.2233009708737863,0.4439,587,2024-01-02,2025-07-10,2025-04-14
CLQZX,380,207,0.54,0.3700000000000001,60,34,0.57,0.2232142857142856,0.4435,588,2024-01-02,2025-07-10,2025-04-14
LCGNX,380,213,0.56,0.3700000000000001,60,34,0.57,0.2232142857142856,0.4435,588,2024-01-02,2025-07-10,2025-04-14
QCLGX,380,216,0.57,0.48,60,36,0.6,0.22314049586776852,0.4435,588,2024-01-02,2025-07-10,2025-04-14
IAXAX,380,200,0.53,0.3700000000000001,60,33,0.55,0.2232142857142856,0.4434,591,2024-01-02,2025-07-10,2025-04-14
CGQYX,380,204,0.54,0.3700000000000001,60,32,0.53,0.2232142857142856,0.4433,592,2024-01-02,2025-07-10,2025-04-14
AMZN,380,196,0.52,0.48,60,30,0.5,0.22314049586776852,0.443,593,2024-01-02,2025-07-10,2025-04-14
FTGRX,380,217,0.57,0.42999999999999994,60,40,0.67,0.22222222222222232,0.442,594,2024-01-02,2025-07-10,2025-04-14
FALGX,380,220,0.58,0.42999999999999994,60,40,0.67,0.22222222222222232,0.442,594,2024-01-02,2025-07-10,2025-04-14
OTPSX,380,212,0.56,-0.6699999999999999,60,38,0.63,0.2222222222222221,0.4419,596,2024-01-02,2025-07-10,2025-04-14
FGDKX,380,207,0.54,0.42999999999999994,60,36,0.6,0.22222222222222232,0.4417,597,2024-01-02,2025-07-10,2025-04-14
HAGCX,380,209,0.55,0.20999999999999996,60,35,0.58,0.2222222222222221,0.4416,598,2024-01-02,2025-07-10,2025-04-14
CELH,380,173,0.46,-0.22999999999999998,60,31,0.52,0.22222222222222232,0.4413,599,2024-01-02,2025-07-10,2025-04-14
SCHW,380,201,0.53,0.3799999999999999,60,39,0.65,0.22123893805309747,0.44,600,2024-01-02,2025-07-10,2025-04-14
NU,380,199,0.52,0.6000000000000001,60,34,0.57,0.22137404580152675,0.4399,601,2024-01-02,2025-07-10,2025-04-14
HRTG,380,197,0.52,2.31,60,31,0.52,0.22140221402214033,0.4397,602,2024-01-02,2025-07-10,2025-04-14
IAXIX,380,202,0.53,0.3799999999999999,60,33,0.55,0.22123893805309747,0.4395,603,2024-01-02,2025-07-10,2025-04-14
JSVAX,380,199,0.52,0.27,60,34,0.57,0.22115384615384603,0.4394,604,2024-01-02,2025-07-10,2025-04-14
JCNAX,380,201,0.53,0.27,60,34,0.57,0.22115384615384603,0.4394,604,2024-01-02,2025-07-10,2025-04-14
FZALX,380,219,0.58,0.43999999999999995,60,41,0.68,0.22033898305084754,0.4383,606,2024-01-02,2025-07-10,2025-04-14
FTRIX,380,219,0.58,0.43999999999999995,60,41,0.68,0.22033898305084754,0.4383,606,2024-01-02,2025-07-10,2025-04-14
FGRTX,380,217,0.57,0.43999999999999995,60,41,0.68,0.22033898305084754,0.4383,606,2024-01-02,2025-07-10,2025-04-14
FIFQX,380,207,0.54,0.43999999999999995,60,38,0.63,0.22033898305084754,0.4381,609,2024-01-02,2025-07-10,2025-04-14
FPBFX,380,202,0.53,0.33000000000000007,60,43,0.72,0.22018348623853212,0.4381,609,2024-01-02,2025-07-10,2025-04-14
TEVA,380,189,0.5,0.55,60,32,0.53,0.22047244094488194,0.4379,611,2024-01-02,2025-07-10,2025-04-14
FIMPX,380,196,0.52,0.21999999999999997,60,35,0.58,0.21999999999999997,0.4373,612,2024-01-02,2025-07-10,2025-04-14
CNNE,380,190,0.5,0.1100000000000001,60,36,0.6,0.2197802197802199,0.4369,613,2024-01-02,2025-07-10,2025-04-14
ITRN,380,190,0.5,0.6100000000000001,60,38,0.63,0.21969696969696972,0.4369,613,2024-01-02,2025-07-10,2025-04-14
QILGX,380,218,0.57,0.5,60,38,0.63,0.2195121951219512,0.4365,615,2024-01-02,2025-07-10,2025-04-14
FDCPX,380,213,0.56,0.3899999999999999,60,40,0.67,0.2192982456140351,0.4362,616,2024-01-02,2025-07-10,2025-04-14
KGGAX,380,202,0.53,0.3899999999999999,60,39,0.65,0.2192982456140351,0.4361,617,2024-01-02,2025-07-10,2025-04-14
UINQX,380,217,0.57,0.3899999999999999,60,37,0.62,0.2192982456140351,0.436,618,2024-01-02,2025-07-10,2025-04-14
URNQX,380,217,0.57,0.3899999999999999,60,37,0.62,0.2192982456140351,0.436,618,2024-01-02,2025-07-10,2025-04-14
USNQX,380,217,0.57,0.3899999999999999,60,37,0.62,0.2192982456140351,0.436,618,2024-01-02,2025-07-10,2025-04-14
RPTTX,380,207,0.54,0.3899999999999999,60,35,0.58,0.2192982456140351,0.4359,621,2024-01-02,2025-07-10,2025-04-14
TILRX,380,209,0.55,0.3899999999999999,60,34,0.57,0.2192982456140351,0.4358,622,2024-01-02,2025-07-10,2025-04-14
TIRTX,380,211,0.56,0.3899999999999999,60,34,0.57,0.2192982456140351,0.4358,622,2024-01-02,2025-07-10,2025-04-14
FIFPX,380,207,0.54,0.44999999999999996,60,38,0.63,0.2184873949579833,0.4345,624,2024-01-02,2025-07-10,2025-04-14
ENTG,380,187,0.49,-0.21999999999999997,60,31,0.52,0.21875,0.4344,625,2024-01-02,2025-07-10,2025-04-14
FHOFX,380,220,0.58,0.44999999999999996,60,36,0.6,0.2184873949579833,0.4343,626,2024-01-02,2025-07-10,2025-04-14
TRIHX,380,217,0.57,0.44999999999999996,60,35,0.58,0.2184873949579833,0.4343,626,2024-01-02,2025-07-10,2025-04-14
OXY,380,188,0.49,-0.21999999999999997,60,30,0.5,0.21875,0.4343,626,2024-01-02,2025-07-10,2025-04-14
TILIX,380,219,0.58,0.44999999999999996,60,35,0.58,0.2184873949579833,0.4343,626,2024-01-02,2025-07-10,2025-04-14
SWLGX,380,218,0.57,0.44999999999999996,60,35,0.58,0.2184873949579833,0.4343,626,2024-01-02,2025-07-10,2025-04-14
VRGWX,380,220,0.58,0.44999999999999996,60,35,0.58,0.2184873949579833,0.4343,626,2024-01-02,2025-07-10,2025-04-14
STCIX,380,203,0.53,0.44999999999999996,60,34,0.57,0.2184873949579833,0.4342,632,2024-01-02,2025-07-10,2025-04-14
JXN,380,221,0.58,0.8400000000000001,60,33,0.55,0.2185430463576159,0.4342,632,2024-01-02,2025-07-10,2025-04-14
SSSIX,380,187,0.49,0.06000000000000005,60,36,0.6,0.21839080459770122,0.4341,634,2024-01-02,2025-07-10,2025-04-14
SSSFX,380,188,0.49,0.06000000000000005,60,36,0.6,0.21839080459770122,0.4341,634,2024-01-02,2025-07-10,2025-04-14
AGCHX,380,204,0.54,0.22999999999999998,60,42,0.7,0.2178217821782178,0.4334,636,2024-01-02,2025-07-10,2025-04-14
VOOG,380,227,0.6,0.51,60,38,0.63,0.217741935483871,0.433,637,2024-01-02,2025-07-10,2025-04-14
PYPL,380,203,0.53,0.22999999999999998,60,34,0.57,0.2178217821782178,0.4329,638,2024-01-02,2025-07-10,2025-04-14
EPGCX,380,201,0.53,0.3999999999999999,60,36,0.6,0.21739130434782616,0.4322,639,2024-01-02,2025-07-10,2025-04-14
TILWX,380,209,0.55,0.3999999999999999,60,34,0.57,0.21739130434782616,0.432,640,2024-01-02,2025-07-10,2025-04-14
TILHX,380,210,0.55,0.3999999999999999,60,34,0.57,0.21739130434782616,0.432,640,2024-01-02,2025-07-10,2025-04-14
CSSCX,380,192,0.51,0.1200000000000001,60,34,0.57,0.21739130434782616,0.432,640,2024-01-02,2025-07-10,2025-04-14
TILGX,380,210,0.55,0.3999999999999999,60,34,0.57,0.21739130434782616,0.432,640,2024-01-02,2025-07-10,2025-04-14
FIFOX,380,208,0.55,0.45999999999999996,60,38,0.63,0.21666666666666679,0.4309,644,2024-01-02,2025-07-10,2025-04-14
FIFNX,380,208,0.55,0.45999999999999996,60,38,0.63,0.21666666666666679,0.4309,644,2024-01-02,2025-07-10,2025-04-14
FIFVX,380,210,0.55,0.45999999999999996,60,38,0.63,0.21666666666666679,0.4309,644,2024-01-02,2025-07-10,2025-04-14
STCZX,380,212,0.56,0.45999999999999996,60,36,0.6,0.21666666666666679,0.4307,647,2024-01-02,2025-07-10,2025-04-14
TYRA,380,185,0.49,-0.27,60,35,0.58,0.21666666666666679,0.4307,647,2024-01-02,2025-07-10,2025-04-14
STCAX,380,208,0.55,0.45999999999999996,60,34,0.57,0.21666666666666679,0.4306,649,2024-01-02,2025-07-10,2025-04-14
RYCOX,380,216,0.57,0.3500000000000001,60,37,0.62,0.21621621621621623,0.4299,650,2024-01-02,2025-07-10,2025-04-14
RDLCX,380,205,0.54,0.3500000000000001,60,33,0.55,0.21621621621621623,0.4296,651,2024-01-02,2025-07-10,2025-04-14
AGCWX,380,208,0.55,0.24,60,43,0.72,0.21568627450980382,0.4292,652,2024-01-02,2025-07-10,2025-04-14
AGCLX,380,205,0.54,0.24,60,42,0.7,0.21568627450980382,0.4292,652,2024-01-02,2025-07-10,2025-04-14
BK,380,222,0.58,0.8600000000000001,60,40,0.67,0.21568627450980404,0.4291,654,2024-01-02,2025-07-10,2025-04-14
VBNK,380,184,0.48,0.07000000000000006,60,34,0.57,0.21590909090909105,0.4291,654,2024-01-02,2025-07-10,2025-04-14
FAEGX,380,203,0.53,0.4099999999999999,60,36,0.6,0.21551724137931028,0.4285,656,2024-01-02,2025-07-10,2025-04-14
EPGAX,380,204,0.54,0.4099999999999999,60,36,0.6,0.21551724137931028,0.4285,656,2024-01-02,2025-07-10,2025-04-14
IMAX,380,208,0.55,0.75,60,34,0.57,0.2152777777777779,0.4278,658,2024-01-02,2025-07-10,2025-04-14
CSCZX,380,193,0.51,0.1299999999999999,60,34,0.57,0.21505376344086002,0.4274,659,2024-01-02,2025-07-10,2025-04-14
OTPIX,380,212,0.56,-0.6599999999999999,60,38,0.63,0.2142857142857142,0.4262,660,2024-01-02,2025-07-10,2025-04-14
IBM,380,217,0.57,0.8700000000000001,60,38,0.63,0.2142857142857144,0.4262,660,2024-01-02,2025-07-10,2025-04-14
VSTCX,380,198,0.52,0.18999999999999995,60,35,0.58,0.2142857142857142,0.426,662,2024-01-02,2025-07-10,2025-04-14
BIPSX,380,191,0.5,-0.15000000000000002,60,33,0.55,0.2142857142857144,0.4258,663,2024-01-02,2025-07-10,2025-04-14
RDLAX,380,205,0.54,0.3600000000000001,60,33,0.55,0.2142857142857142,0.4258,663,2024-01-02,2025-07-10,2025-04-14
BBY,380,187,0.49,0.020000000000000018,60,31,0.52,0.2142857142857144,0.4256,665,2024-01-02,2025-07-10,2025-04-14
FGRCX,380,214,0.56,0.41999999999999993,60,41,0.68,0.21367521367521358,0.4251,666,2024-01-02,2025-07-10,2025-04-14
AGCSX,380,209,0.55,0.25,60,43,0.72,0.21359223300970864,0.4251,666,2024-01-02,2025-07-10,2025-04-14
AGCVX,380,207,0.54,0.25,60,42,0.7,0.21359223300970864,0.425,668,2024-01-02,2025-07-10,2025-04-14
FDSVX,380,207,0.54,0.41999999999999993,60,36,0.6,0.21367521367521358,0.4248,669,2024-01-02,2025-07-10,2025-04-14
EQPGX,380,205,0.54,0.41999999999999993,60,36,0.6,0.21367521367521358,0.4248,669,2024-01-02,2025-07-10,2025-04-14
FZAFX,380,204,0.54,0.41999999999999993,60,36,0.6,0.21367521367521358,0.4248,669,2024-01-02,2025-07-10,2025-04-14
JCNCX,380,200,0.53,0.25,60,34,0.57,0.21359223300970864,0.4245,672,2024-01-02,2025-07-10,2025-04-14
HWSZX,380,193,0.51,0.08000000000000007,60,35,0.58,0.2134831460674158,0.4244,673,2024-01-02,2025-07-10,2025-04-14
HST,380,197,0.52,-0.08999999999999997,60,32,0.53,0.21333333333333337,0.4238,674,2024-01-02,2025-07-10,2025-04-14
ARTTX,380,221,0.58,0.54,60,44,0.73,0.21259842519685046,0.4232,675,2024-01-02,2025-07-10,2025-04-14
APHTX,380,219,0.58,0.54,60,44,0.73,0.21259842519685046,0.4232,675,2024-01-02,2025-07-10,2025-04-14
APDTX,380,219,0.58,0.54,60,43,0.72,0.21259842519685046,0.4231,677,2024-01-02,2025-07-10,2025-04-14
RYATX,380,216,0.57,0.3700000000000001,60,37,0.62,0.21238938053097356,0.4224,678,2024-01-02,2025-07-10,2025-04-14
RYOCX,380,216,0.57,0.3700000000000001,60,37,0.62,0.21238938053097356,0.4224,678,2024-01-02,2025-07-10,2025-04-14
UCNQX,380,217,0.57,0.3700000000000001,60,37,0.62,0.21238938053097356,0.4224,678,2024-01-02,2025-07-10,2025-04-14
LCGFX,380,214,0.56,0.3700000000000001,60,34,0.57,0.21238938053097356,0.4221,681,2024-01-02,2025-07-10,2025-04-14
LCGJX,380,211,0.56,0.3700000000000001,60,34,0.57,0.21238938053097356,0.4221,681,2024-01-02,2025-07-10,2025-04-14
FOCPX,380,214,0.56,0.42999999999999994,60,40,0.67,0.21186440677966112,0.4215,683,2024-01-02,2025-07-10,2025-04-14
FOCKX,380,211,0.56,0.42999999999999994,60,40,0.67,0.21186440677966112,0.4215,683,2024-01-02,2025-07-10,2025-04-14
FGTAX,380,218,0.57,0.42999999999999994,60,40,0.67,0.21186440677966112,0.4215,683,2024-01-02,2025-07-10,2025-04-14
ANF,380,186,0.49,-0.030000000000000027,60,25,0.42,0.2124999999999999,0.4214,686,2024-01-02,2025-07-10,2025-04-14
FTQGX,380,212,0.56,0.42999999999999994,60,37,0.62,0.21186440677966112,0.4213,687,2024-01-02,2025-07-10,2025-04-14
FMFMX,380,203,0.53,0.42999999999999994,60,36,0.6,0.21186440677966112,0.4212,688,2024-01-02,2025-07-10,2025-04-14
VPCCX,380,208,0.55,0.26,60,38,0.63,0.21153846153846145,0.4207,689,2024-01-02,2025-07-10,2025-04-14
JCNIX,380,198,0.52,0.26,60,34,0.57,0.21153846153846145,0.4205,690,2024-01-02,2025-07-10,2025-04-14
JCNRX,380,200,0.53,0.26,60,34,0.57,0.21153846153846145,0.4205,690,2024-01-02,2025-07-10,2025-04-14
BIPIX,380,189,0.5,-0.14,60,31,0.52,0.21126760563380276,0.4197,692,2024-01-02,2025-07-10,2025-04-14
FVWSX,380,215,0.57,0.55,60,37,0.62,0.2109375,0.4195,693,2024-01-02,2025-07-10,2025-04-14
JACLX,380,205,0.54,0.32000000000000006,60,33,0.55,0.21100917431192667,0.4193,694,2024-01-02,2025-07-10,2025-04-14
FLXS,380,185,0.49,1.1800000000000002,60,29,0.48,0.21111111111111125,0.4192,695,2024-01-02,2025-07-10,2025-04-14
WESJX,380,202,0.53,0.1499999999999999,60,39,0.65,0.21052631578947367,0.4188,696,2024-01-02,2025-07-10,2025-04-14
UANQX,380,217,0.57,0.3799999999999999,60,37,0.62,0.21052631578947367,0.4187,697,2024-01-02,2025-07-10,2025-04-14
BESIX,380,199,0.52,0.1499999999999999,60,38,0.63,0.21052631578947367,0.4187,697,2024-01-02,2025-07-10,2025-04-14
AES,380,187,0.49,-0.31000000000000005,60,33,0.55,0.21052631578947367,0.4184,699,2024-01-02,2025-07-10,2025-04-14
PHM,380,190,0.5,0.1499999999999999,60,32,0.53,0.21052631578947367,0.4183,700,2024-01-02,2025-07-10,2025-04-14
TRIRX,380,217,0.57,0.43999999999999995,60,35,0.58,0.2100840336134453,0.4177,701,2024-01-02,2025-07-10,2025-04-14
MMDEX,380,214,0.56,0.43999999999999995,60,34,0.57,0.2100840336134453,0.4176,702,2024-01-02,2025-07-10,2025-04-14
MGNDX,380,214,0.56,0.43999999999999995,60,34,0.57,0.2100840336134453,0.4176,702,2024-01-02,2025-07-10,2025-04-14
RISAX,380,208,0.55,0.27,60,42,0.7,0.20952380952380945,0.417,704,2024-01-02,2025-07-10,2025-04-14
RAIRX,380,208,0.55,0.27,60,42,0.7,0.20952380952380945,0.417,704,2024-01-02,2025-07-10,2025-04-14
RAIIX,380,206,0.54,0.27,60,42,0.7,0.20952380952380945,0.417,704,2024-01-02,2025-07-10,2025-04-14
JCNNX,380,197,0.52,0.27,60,34,0.57,0.20952380952380945,0.4165,707,2024-01-02,2025-07-10,2025-04-14
JCONX,380,199,0.52,0.27,60,34,0.57,0.20952380952380945,0.4165,707,2024-01-02,2025-07-10,2025-04-14
JACNX,380,199,0.52,0.27,60,34,0.57,0.20952380952380945,0.4165,707,2024-01-02,2025-07-10,2025-04-14
STLA,380,198,0.52,-0.48,60,32,0.53,0.2093023255813955,0.4159,710,2024-01-02,2025-07-10,2025-04-14
ROCK,380,189,0.5,-0.18999999999999995,60,33,0.55,0.20895522388059695,0.4153,711,2024-01-02,2025-07-10,2025-04-14
SENEA,380,208,0.55,0.9099999999999999,60,34,0.57,0.2088607594936709,0.4152,712,2024-01-02,2025-07-10,2025-04-14
KGGIX,380,204,0.54,0.3899999999999999,60,40,0.67,0.20869565217391295,0.4152,712,2024-01-02,2025-07-10,2025-04-14
