Symbol,n_change,n_gain,gain_ratio,relative_change,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean,start_date,end_date,date_trailing_end
CAMT,380,208,0.55,0.3500000000000001,60,36,0.6,0.4835164835164836,0.9542,135,2024-01-02,2025-07-10,2025-04-14
NVDA,380,213,0.56,2.41,60,38,0.63,0.482608695652174,0.9531,136,2024-01-02,2025-07-10,2025-04-14
MARA,380,173,0.46,-0.17000000000000004,60,33,0.55,0.482142857142857,0.9504,137,2024-01-02,2025-07-10,2025-04-14
YQ,380,165,0.43,0.1399999999999999,60,31,0.52,0.48051948051948035,0.9464,138,2024-01-02,2025-07-10,2025-04-14
TXN,380,200,0.53,0.3600000000000001,60,38,0.63,0.4782608695652175,0.9446,139,2024-01-02,2025-07-10,2025-04-14
LUV,380,208,0.55,0.3600000000000001,60,38,0.63,0.4782608695652175,0.9446,139,2024-01-02,2025-07-10,2025-04-14
FELTX,380,206,0.54,0.7,60,36,0.6,0.4782608695652175,0.944,141,2024-01-02,2025-07-10,2025-04-14
HIMX,380,192,0.51,0.5800000000000001,60,37,0.62,0.47663551401869153,0.9411,142,2024-01-02,2025-07-10,2025-04-14
OSK,380,197,0.52,0.20999999999999996,60,35,0.58,0.47560975609756095,0.9385,143,2024-01-02,2025-07-10,2025-04-14
TSM,380,206,0.54,1.2999999999999998,60,37,0.62,0.47435897435897423,0.9367,144,2024-01-02,2025-07-10,2025-04-14
FSELX,380,206,0.54,0.71,60,36,0.6,0.4741379310344829,0.9359,145,2024-01-02,2025-07-10,2025-04-14
FELIX,380,206,0.54,0.71,60,36,0.6,0.4741379310344829,0.9359,145,2024-01-02,2025-07-10,2025-04-14
FIKGX,380,206,0.54,0.71,60,36,0.6,0.4741379310344829,0.9359,145,2024-01-02,2025-07-10,2025-04-14
CYD,380,193,0.51,2.0,60,38,0.63,0.47058823529411753,0.9297,148,2024-01-02,2025-07-10,2025-04-14
DSCSY,380,187,0.49,0.25,60,35,0.58,0.47058823529411775,0.9287,149,2024-01-02,2025-07-10,2025-04-14
RGTI,380,177,0.47,13.16,60,30,0.5,0.47040498442367595,0.9263,150,2024-01-02,2025-07-10,2025-04-14
APP,380,208,0.55,7.93,60,32,0.53,0.4663382594417078,0.9193,151,2024-01-02,2025-07-10,2025-04-14
FELAX,380,206,0.54,0.7,60,36,0.6,0.4655172413793105,0.9191,152,2024-01-02,2025-07-10,2025-04-14
MPC,380,207,0.54,0.22999999999999998,60,43,0.72,0.4642857142857144,0.9187,153,2024-01-02,2025-07-10,2025-04-14
MNMD,380,182,0.48,1.2400000000000002,60,35,0.58,0.4640522875816995,0.916,154,2024-01-02,2025-07-10,2025-04-14
ASMXF,380,79,0.21,0.15999999999999992,60,19,0.32,0.46835443037974667,0.9142,155,2024-01-02,2025-07-10,2025-04-14
COHU,380,182,0.48,-0.4,60,33,0.55,0.46341463414634143,0.914,156,2024-01-02,2025-07-10,2025-04-14
DLTR,380,187,0.49,-0.24,60,36,0.6,0.46153846153846145,0.9114,157,2024-01-02,2025-07-10,2025-04-14
FELCX,380,206,0.54,0.6799999999999999,60,36,0.6,0.4608695652173913,0.9101,158,2024-01-02,2025-07-10,2025-04-14
HAS,380,203,0.53,0.6499999999999999,60,39,0.65,0.4601769911504425,0.9096,159,2024-01-02,2025-07-10,2025-04-14
QSI,380,156,0.41,-0.10999999999999999,60,26,0.43,0.459016393442623,0.9021,160,2024-01-02,2025-07-10,2025-04-14
CUBI,380,193,0.51,0.1499999999999999,60,34,0.57,0.45569620253164533,0.8993,161,2024-01-02,2025-07-10,2025-04-14
AX,380,189,0.5,0.54,60,37,0.62,0.4528301886792452,0.8947,162,2024-01-02,2025-07-10,2025-04-14
WBD,380,202,0.53,0.0,60,37,0.62,0.4492753623188408,0.8878,163,2024-01-02,2025-07-10,2025-04-14
TIGR,380,179,0.47,1.4900000000000002,60,30,0.5,0.4476744186046513,0.8822,164,2024-01-02,2025-07-10,2025-04-14
DIS,380,198,0.52,0.3600000000000001,60,34,0.57,0.44680851063829796,0.882,165,2024-01-02,2025-07-10,2025-04-14
RYSCX,380,204,0.54,0.3600000000000001,60,34,0.57,0.44680851063829796,0.882,165,2024-01-02,2025-07-10,2025-04-14
BE,380,189,0.5,0.75,60,34,0.57,0.44628099173553726,0.881,167,2024-01-02,2025-07-10,2025-04-14
UOPSX,380,210,0.55,0.5900000000000001,60,37,0.62,0.4454545454545453,0.8803,168,2024-01-02,2025-07-10,2025-04-14
ACMR,380,184,0.48,0.56,60,35,0.58,0.4444444444444444,0.8777,169,2024-01-02,2025-07-10,2025-04-14
DBD,380,204,0.54,1.12,60,38,0.63,0.44217687074829937,0.8742,170,2024-01-02,2025-07-10,2025-04-14
RYSAX,380,204,0.54,0.3700000000000001,60,34,0.57,0.442105263157895,0.8729,171,2024-01-02,2025-07-10,2025-04-14
RYELX,380,205,0.54,0.3700000000000001,60,34,0.57,0.442105263157895,0.8729,171,2024-01-02,2025-07-10,2025-04-14
GPMT,380,168,0.44,-0.51,60,27,0.45,0.44117647058823506,0.8682,173,2024-01-02,2025-07-10,2025-04-14
RL,380,198,0.52,1.0299999999999998,60,31,0.52,0.43971631205673756,0.8671,174,2024-01-02,2025-07-10,2025-04-14
RYVYX,380,214,0.56,0.6100000000000001,60,37,0.62,0.4375,0.8648,175,2024-01-02,2025-07-10,2025-04-14
UOPIX,380,211,0.56,0.6100000000000001,60,37,0.62,0.4375,0.8648,175,2024-01-02,2025-07-10,2025-04-14
RYVLX,380,214,0.56,0.6100000000000001,60,37,0.62,0.4375,0.8648,175,2024-01-02,2025-07-10,2025-04-14
RYSIX,380,205,0.54,0.3799999999999999,60,34,0.57,0.4375,0.8639,178,2024-01-02,2025-07-10,2025-04-14
NSSC,380,205,0.54,-0.040000000000000036,60,41,0.68,0.4328358208955223,0.8566,179,2024-01-02,2025-07-10,2025-04-14
RYCCX,380,214,0.56,0.5900000000000001,60,37,0.62,0.43243243243243246,0.8549,180,2024-01-02,2025-07-10,2025-04-14
WRLD,380,201,0.53,0.3600000000000001,60,38,0.63,0.4315789473684213,0.8535,181,2024-01-02,2025-07-10,2025-04-14
BA,380,190,0.5,-0.09999999999999998,60,35,0.58,0.4285714285714286,0.8468,182,2024-01-02,2025-07-10,2025-04-14
NTRS,380,205,0.54,0.5700000000000001,60,36,0.6,0.42727272727272725,0.8445,183,2024-01-02,2025-07-10,2025-04-14
BEN,380,193,0.51,-0.06000000000000005,60,38,0.63,0.4242424242424241,0.8391,184,2024-01-02,2025-07-10,2025-04-14
ALV,380,205,0.54,0.1100000000000001,60,39,0.65,0.42307692307692313,0.8371,185,2024-01-02,2025-07-10,2025-04-14
GDOT,380,199,0.52,0.1100000000000001,60,35,0.58,0.42307692307692313,0.836,186,2024-01-02,2025-07-10,2025-04-14
ARM,380,199,0.52,1.1600000000000001,60,34,0.57,0.42105263157894735,0.8318,187,2024-01-02,2025-07-10,2025-04-14
ASMIY,380,207,0.54,0.25,60,32,0.53,0.4204545454545454,0.83,188,2024-01-02,2025-07-10,2025-04-14
AGX,380,204,0.54,3.5199999999999996,60,38,0.63,0.4169278996865202,0.8248,189,2024-01-02,2025-07-10,2025-04-14
MTAL,380,183,0.48,0.020000000000000018,60,35,0.58,0.41666666666666674,0.8235,190,2024-01-02,2025-07-10,2025-04-14
NCLH,380,201,0.53,0.26,60,39,0.65,0.4157303370786516,0.8227,191,2024-01-02,2025-07-10,2025-04-14
CPNG,380,204,0.54,0.94,60,35,0.58,0.41605839416058377,0.8223,192,2024-01-02,2025-07-10,2025-04-14
DAL,380,192,0.51,0.42999999999999994,60,34,0.57,0.41584158415841577,0.8216,193,2024-01-02,2025-07-10,2025-04-14
LPG,380,183,0.48,-0.25,60,33,0.55,0.4150943396226414,0.8199,194,2024-01-02,2025-07-10,2025-04-14
GS,380,210,0.55,0.8899999999999999,60,39,0.65,0.4104477611940296,0.8123,195,2024-01-02,2025-07-10,2025-04-14
SIG,380,185,0.49,-0.20999999999999996,60,34,0.57,0.4107142857142856,0.8116,196,2024-01-02,2025-07-10,2025-04-14
MRVL,380,198,0.52,0.27,60,31,0.52,0.4111111111111112,0.8115,197,2024-01-02,2025-07-10,2025-04-14
VLO,380,205,0.54,0.24,60,34,0.57,0.40909090909090917,0.8085,198,2024-01-02,2025-07-10,2025-04-14
NAVI,380,190,0.5,-0.09999999999999998,60,40,0.67,0.40625,0.8043,199,2024-01-02,2025-07-10,2025-04-14
LYFT,380,177,0.47,0.1100000000000001,60,31,0.52,0.40506329113924067,0.7997,200,2024-01-02,2025-07-10,2025-04-14
LOB,380,186,0.49,-0.27,60,35,0.58,0.40384615384615374,0.7985,201,2024-01-02,2025-07-10,2025-04-14
DQ,380,189,0.5,-0.19999999999999996,60,33,0.55,0.4035087719298247,0.7973,202,2024-01-02,2025-07-10,2025-04-14
FCX,380,194,0.51,0.1499999999999999,60,31,0.52,0.4024390243902438,0.7946,203,2024-01-02,2025-07-10,2025-04-14
EMR,380,208,0.55,0.51,60,41,0.68,0.39814814814814814,0.7886,204,2024-01-02,2025-07-10,2025-04-14
