Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
YSG,2020-01-02,2025-08-15,781,343,0.44,,2025-06-20,40,0,0.0,0.0,0.0,32
AFCGX,2020-01-02,2025-08-15,1005,502,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AES,2020-01-02,2025-08-15,1005,509,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AEP,2020-01-02,2025-08-15,1005,532,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AEO,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AEMFF,2020-01-02,2025-08-15,0,0,,,2025-06-20,40,0,0.0,0.0,0.0,32
ADSK,2020-01-02,2025-08-15,1412,737,0.52,0.53,2025-06-20,40,23,0.57,-0.03164556962025322,0.0,32
ADP,2020-01-02,2025-08-15,1412,756,0.54,0.99,2025-06-20,40,23,0.57,-0.014851485148514865,0.0,32
ADMA,2020-01-02,2025-08-15,1412,666,0.47,3.3200000000000003,2025-06-20,40,21,0.52,-0.042128603104212736,0.0,32
ADC,2020-01-02,2025-08-15,1412,723,0.51,0.3500000000000001,2025-06-20,40,12,0.3,-0.021739130434782483,0.0,32
AFVLX,2020-01-02,2025-08-15,1005,516,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AFL,2020-01-02,2025-08-15,1005,546,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
AFEIX,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AFEGX,2020-01-02,2025-08-15,1005,528,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AFEDX,2020-01-02,2025-08-15,1005,525,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AFDRX,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AFDIX,2020-01-02,2025-08-15,1005,528,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AFDGX,2020-01-02,2025-08-15,1005,526,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AFDCX,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AFDAX,2020-01-02,2025-08-15,1005,528,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AFCWX,2020-01-02,2025-08-15,1005,494,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AFCSX,2020-01-02,2025-08-15,1005,500,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AFCNX,2020-01-02,2025-08-15,1005,494,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AFCMX,2020-01-02,2025-08-15,1005,497,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AFCLX,2020-01-02,2025-08-15,1005,496,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AFCHX,2020-01-02,2025-08-15,1005,495,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AGVEX,2020-01-02,2025-08-15,1005,506,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AGVDX,2020-01-02,2025-08-15,1005,506,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AGTIX,2020-01-02,2025-08-15,1005,537,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AGRO,2020-01-02,2025-08-15,1005,507,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AGNC,2020-01-02,2025-08-15,1005,508,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AGL,2020-01-02,2025-08-15,682,331,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AGIZX,2020-01-02,2025-08-15,1005,532,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AGCWX,2020-01-02,2025-08-15,1005,521,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AGCVX,2020-01-02,2025-08-15,1005,524,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AGCTX,2020-01-02,2025-08-15,1005,523,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AGCSX,2020-01-02,2025-08-15,1005,520,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AGCLX,2020-01-02,2025-08-15,1005,519,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AGCHX,2020-01-02,2025-08-15,1005,516,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AFYDX,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AFYA,2020-01-02,2025-08-15,1005,491,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AFVZX,2020-01-02,2025-08-15,1005,511,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AIVBX,2020-01-02,2025-08-15,1005,503,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AIV,2020-01-02,2025-08-15,1005,481,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
AIIXY,2020-01-02,2025-08-15,732,53,0.07,,2025-06-20,40,0,0.0,0.0,0.0,32
AIGOX,2020-01-02,2025-08-15,1005,523,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AIG,2020-01-02,2025-08-15,1005,536,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AI,2020-01-02,2025-08-15,768,366,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
AHTFX,2020-01-02,2025-08-15,1005,415,0.41,,2025-06-20,40,0,0.0,0.0,0.0,32
AHTCX,2020-01-02,2025-08-15,1005,417,0.41,,2025-06-20,40,0,0.0,0.0,0.0,32
AHT-PD,2020-01-02,2025-08-15,1005,449,0.45,,2025-06-20,40,0,0.0,0.0,0.0,32
AHL-PD,2020-01-02,2025-08-15,1005,485,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
AHITX,2020-01-02,2025-08-15,1005,409,0.41,,2025-06-20,40,0,0.0,0.0,0.0,32
AHIFX,2020-01-02,2025-08-15,1005,416,0.41,,2025-06-20,40,0,0.0,0.0,0.0,32
AGX,2020-01-02,2025-08-15,1005,512,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AGVHX,2020-01-02,2025-08-15,1005,504,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AGVGX,2020-01-02,2025-08-15,1005,505,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AGVFX,2020-01-02,2025-08-15,1005,502,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ALCFX,2020-01-02,2025-08-15,1005,538,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ALBCX,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
