Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
FOSL,2024-01-02,2025-08-15,406,168,0.41,1.0499999999999998,2025-08-11,5,5,1.0,0.7982456140350878,1.3767,1
WULF,2024-01-02,2025-08-15,406,197,0.49,2.9,2025-08-11,5,4,0.8,0.6595744680851063,1.1324,2
PARA,2024-01-02,2025-08-15,406,204,0.5,-0.020000000000000018,2025-08-11,5,2,0.4,0.36111111111111116,0.6118,3
HBI,2024-01-02,2025-08-15,406,193,0.48,0.43999999999999995,2025-08-11,5,3,0.6,0.33333333333333326,0.6,4
GDOT,2024-01-02,2025-08-15,406,209,0.51,0.3700000000000001,2025-08-11,5,3,0.6,0.33009708737864085,0.5948,5
SGMO,2024-01-02,2025-08-15,406,173,0.43,0.040000000000000036,2025-08-11,5,3,0.6,0.31645569620253156,0.5725,6
SLDP,2024-01-02,2025-08-15,406,182,0.45,2.78,2025-08-11,5,4,0.8,0.29452054794520555,0.5486,7
AGL,2024-01-02,2025-08-15,406,185,0.46,-0.91,2025-08-11,5,4,0.8,0.2857142857142856,0.5333,8
IOVA,2024-01-02,2025-08-15,406,179,0.44,-0.69,2025-08-11,5,3,0.6,0.29166666666666674,0.5316,9
SNDX,2024-01-02,2025-08-15,406,200,0.49,-0.28,2025-08-11,5,5,1.0,0.26315789473684226,0.5,10
UP,2024-01-02,2025-08-15,406,186,0.46,-0.53,2025-08-11,5,3,0.6,0.2702702702702702,0.4959,11
CRNC,2024-01-02,2025-08-15,406,184,0.45,-0.38,2025-08-11,5,3,0.6,0.26530612244897966,0.4875,12
BHC,2024-01-02,2025-08-15,406,206,0.51,0.07000000000000006,2025-08-11,5,5,1.0,0.2441860465116279,0.4656,13
BW,2024-01-02,2025-08-15,406,182,0.45,0.06000000000000005,2025-08-11,5,3,0.6,0.2325581395348839,0.4317,14
MATV,2024-01-02,2025-08-15,406,199,0.49,-0.22999999999999998,2025-08-11,5,5,1.0,0.22222222222222232,0.4255,15
NUVB,2024-01-02,2025-08-15,406,183,0.45,0.75,2025-08-11,5,3,0.6,0.22377622377622375,0.4165,16
JBLU,2024-01-02,2025-08-15,406,211,0.52,-0.010000000000000009,2025-08-11,5,3,0.6,0.2222222222222221,0.4138,17
UNH,2024-01-02,2025-08-15,406,210,0.52,-0.42000000000000004,2025-08-11,5,4,0.8,0.20833333333333326,0.396,18
BE,2024-01-02,2025-08-15,406,205,0.5,2.07,2025-08-11,5,5,1.0,0.20392156862745092,0.3919,19
TSE,2024-01-02,2025-08-15,406,182,0.45,-0.7,2025-08-11,5,3,0.6,0.19999999999999996,0.375,20
ARQT,2024-01-02,2025-08-15,406,201,0.5,3.92,2025-08-11,5,4,0.8,0.18840579710144945,0.3599,21
INTC,2024-01-02,2025-08-15,406,195,0.48,-0.48,2025-08-11,5,5,1.0,0.18181818181818188,0.3509,22
LUMN,2024-01-02,2025-08-15,406,184,0.45,1.3399999999999999,2025-08-11,5,4,0.8,0.18181818181818166,0.3478,23
LYFT,2024-01-02,2025-08-15,406,190,0.47,0.1499999999999999,2025-08-11,5,5,1.0,0.1734693877551019,0.3353,24
