Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
WBX,2024-01-02,2025-08-15,406,151,0.37,1.6099999999999999,2025-05-21,60,23,0.38,14.352941176470587,17.6756,1
ZEPP,2024-01-02,2025-08-15,406,180,0.44,4.88,2025-05-21,60,32,0.53,12.066666666666666,17.525,2
SLDP,2024-01-02,2025-08-15,406,182,0.45,2.78,2025-05-21,60,34,0.57,2.857142857142857,5.2713,3
AMPX,2024-01-02,2025-08-15,406,176,0.43,0.78,2025-05-21,60,31,0.52,1.9666666666666668,3.6987,4
COMM,2024-01-02,2025-08-15,406,204,0.5,4.42,2025-05-21,60,36,0.6,1.7938144329896906,3.4173,5
JOBY,2024-01-02,2025-08-15,406,191,0.47,1.69,2025-05-21,60,30,0.5,1.514018691588785,2.8826,6
BE,2024-01-02,2025-08-15,406,205,0.5,2.07,2025-05-21,60,35,0.58,1.4959349593495932,2.8692,7
WULF,2024-01-02,2025-08-15,406,197,0.49,2.9,2025-05-21,60,32,0.53,1.2941176470588234,2.4876,8
GPRO,2024-01-02,2025-08-15,406,167,0.41,-0.61,2025-05-21,60,32,0.53,1.2941176470588234,2.4876,8
ABCL,2024-01-02,2025-08-15,406,184,0.45,-0.19999999999999996,2025-05-21,60,34,0.57,1.285714285714286,2.4777,10
ZIMV,2024-01-02,2025-08-15,406,198,0.49,0.050000000000000044,2025-05-21,60,29,0.48,1.2340425531914896,2.3673,11
AEHR,2024-01-02,2025-08-15,406,180,0.44,-0.27,2025-05-21,60,33,0.55,1.1470588235294117,2.2171,12
BW,2024-01-02,2025-08-15,406,182,0.45,0.06000000000000005,2025-05-21,60,23,0.38,1.12,2.136,13
APLD,2024-01-02,2025-08-15,406,195,0.48,1.02,2025-05-21,60,23,0.38,1.0824742268041239,2.0676,14
FOSL,2024-01-02,2025-08-15,406,168,0.41,1.0499999999999998,2025-05-21,60,28,0.47,1.0707070707070705,2.0625,15
MATV,2024-01-02,2025-08-15,406,199,0.49,-0.22999999999999998,2025-05-21,60,33,0.55,1.026315789473684,1.9907,16
ASTS,2024-01-02,2025-08-15,406,202,0.5,8.91,2025-05-21,60,34,0.57,1.0183299389002038,1.9774,17
DTC,2024-01-02,2025-08-15,406,161,0.4,-0.96,2025-05-21,60,29,0.48,1.0,1.9333,18
UAVS,2024-01-02,2025-08-15,406,139,0.34,-0.98,2025-05-21,60,27,0.45,1.0,1.9286,19
YSG,2024-01-02,2025-08-15,406,207,0.51,1.5099999999999998,2025-05-21,60,32,0.53,0.9609374999999998,1.8658,20
INDI,2024-01-02,2025-08-15,406,180,0.44,-0.4,2025-05-21,60,30,0.5,0.9354838709677418,1.8144,21
CRDO,2024-01-02,2025-08-15,406,220,0.54,5.35,2025-05-21,60,34,0.57,0.9300911854103342,1.8107,22
OKLO,2024-01-02,2025-08-15,406,201,0.5,5.7,2025-05-21,60,28,0.47,0.9308357348703169,1.8018,23
SOFI,2024-01-02,2025-08-15,406,211,0.52,1.46,2025-05-21,60,36,0.6,0.8496240601503757,1.6601,24
BHC,2024-01-02,2025-08-15,406,206,0.51,0.07000000000000006,2025-05-21,60,35,0.58,0.8448275862068968,1.6498,25
AAP,2024-01-02,2025-08-15,406,202,0.5,-0.050000000000000044,2025-05-21,60,30,0.5,0.8269230769230769,1.6095,26
U,2024-01-02,2025-08-15,406,199,0.49,-0.020000000000000018,2025-05-21,60,31,0.52,0.8148148148148147,1.5879,27
TLYS,2024-01-02,2025-08-15,406,169,0.42,-0.8,2025-05-21,60,25,0.42,0.8181818181818183,1.5845,28
KSS,2024-01-02,2025-08-15,406,186,0.46,-0.43999999999999995,2025-05-21,60,35,0.58,0.806451612903226,1.5766,29
HOOD,2024-01-02,2025-08-15,406,231,0.57,8.23,2025-05-21,60,34,0.57,0.7887596899224807,1.5418,30
RKLB,2024-01-02,2025-08-15,406,209,0.51,7.34,2025-05-21,60,30,0.5,0.7594936708860758,1.4815,31
ETHE,2024-01-02,2025-08-15,406,205,0.5,1.0899999999999999,2025-05-21,60,31,0.52,0.7272727272727273,1.4212,32
VHC,2024-01-02,2025-08-15,406,183,0.45,1.15,2025-05-21,60,28,0.47,0.72,1.4039,33
CLS,2024-01-02,2025-08-15,406,231,0.57,5.91,2025-05-21,60,36,0.6,0.7146401985111661,1.4015,34
RBCN,2024-01-02,2025-08-15,406,122,0.3,3.6399999999999997,2025-05-21,60,23,0.38,0.7058823529411762,1.3697,35
SANA,2024-01-02,2025-08-15,406,179,0.44,-0.20999999999999996,2025-05-21,60,31,0.52,0.6808510638297873,1.3324,36
CYD,2024-01-02,2025-08-15,406,208,0.51,2.63,2025-05-21,60,34,0.57,0.6728110599078341,1.3195,37
DQ,2024-01-02,2025-08-15,406,202,0.5,-0.08999999999999997,2025-05-21,60,34,0.57,0.6545454545454545,1.2844,38
SOUN,2024-01-02,2025-08-15,406,181,0.45,6.5,2025-05-21,60,26,0.43,0.6483516483516485,1.2652,39
SCS,2024-01-02,2025-08-15,406,199,0.49,0.29000000000000004,2025-05-21,60,29,0.48,0.6329113924050633,1.2388,40
FET,2024-01-02,2025-08-15,406,204,0.5,0.040000000000000036,2025-05-21,60,36,0.6,0.625,1.2287,41
CTKB,2024-01-02,2025-08-15,406,190,0.47,-0.55,2025-05-21,60,31,0.52,0.607142857142857,1.191,42
ATEYY,2024-01-02,2025-08-15,406,225,0.55,1.35,2025-05-21,60,38,0.63,0.5986394557823129,1.1787,43
RNWEY,2024-01-02,2025-08-15,406,58,0.14,-0.8200000000000001,2025-05-21,60,2,0.03,0.7999999999999998,1.1429,44
AMD,2024-01-02,2025-08-15,406,205,0.5,0.28,2025-05-21,60,36,0.6,0.5802469135802468,1.1421,45
ORCL,2024-01-02,2025-08-15,406,228,0.56,1.4300000000000002,2025-05-21,60,40,0.67,0.577922077922078,1.1394,46
GHLD,2024-01-02,2025-08-15,406,188,0.46,0.52,2025-05-21,60,34,0.57,0.5670103092783505,1.1154,47
CELH,2024-01-02,2025-08-15,406,189,0.47,-0.030000000000000027,2025-05-21,60,35,0.58,0.564516129032258,1.1111,48
OWLT,2024-01-02,2025-08-15,406,195,0.48,0.3500000000000001,2025-05-21,60,33,0.55,0.5517241379310347,1.0853,49
STEM,2024-01-02,2025-08-15,406,176,0.43,-0.8,2025-05-21,60,30,0.5,0.5384615384615385,1.0579,50
WDC,2024-01-02,2025-08-15,406,217,0.53,0.96,2025-05-21,60,42,0.7,0.5193798449612403,1.0261,51
RGTI,2024-01-02,2025-08-15,406,190,0.47,17.1,2025-05-21,60,28,0.47,0.5197313182199834,1.0205,52
CLF,2024-01-02,2025-08-15,406,186,0.46,-0.47,2025-05-21,60,28,0.47,0.5142857142857145,1.01,53
TME,2024-01-02,2025-08-15,406,207,0.51,1.9500000000000002,2025-05-21,60,37,0.62,0.5051020408163267,0.9966,54
CDE,2024-01-02,2025-08-15,406,206,0.51,2.65,2025-05-21,60,31,0.52,0.49590163934426235,0.9762,55
GILT,2024-01-02,2025-08-15,406,185,0.46,0.41999999999999993,2025-05-21,60,26,0.43,0.49473684210526314,0.971,56
STX,2024-01-02,2025-08-15,406,215,0.53,0.95,2025-05-21,60,34,0.57,0.4885496183206106,0.9633,57
ALB,2024-01-02,2025-08-15,406,195,0.48,-0.42000000000000004,2025-05-21,60,33,0.55,0.487179487179487,0.9602,58
