Symbol,n_change,n_gain,gain_ratio,relative_change,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
MAXN,406,160,0.39,-0.99,60,31,0.52,inf,62.0,1
WBX,406,151,0.37,1.6099999999999999,60,23,0.38,14.352941176470587,17.6756,2
ZEPP,406,180,0.44,4.88,60,32,0.53,12.066666666666666,17.525,3
SLDP,406,182,0.45,2.78,60,34,0.57,2.857142857142857,5.2713,4
AMPX,406,176,0.43,0.78,60,31,0.52,1.9666666666666668,3.6987,5
COMM,406,204,0.5,4.42,60,36,0.6,1.7938144329896906,3.4173,6
JOBY,406,191,0.47,1.69,60,30,0.5,1.514018691588785,2.8826,7
BE,406,205,0.5,2.07,60,35,0.58,1.4959349593495932,2.8692,8
GPRO,406,167,0.41,-0.61,60,32,0.53,1.2941176470588234,2.4876,9
WULF,406,197,0.49,2.9,60,32,0.53,1.2941176470588234,2.4876,9
ABCL,406,184,0.45,-0.19999999999999996,60,34,0.57,1.285714285714286,2.4777,11
ZIMV,406,198,0.49,0.050000000000000044,60,29,0.48,1.2340425531914896,2.3673,12
AEHR,406,180,0.44,-0.27,60,33,0.55,1.1470588235294117,2.2171,13
BW,406,182,0.45,0.06000000000000005,60,23,0.38,1.12,2.136,14
APLD,406,195,0.48,1.02,60,23,0.38,1.0824742268041239,2.0676,15
FOSL,406,168,0.41,1.0499999999999998,60,28,0.47,1.0707070707070705,2.0625,16
MATV,406,199,0.49,-0.22999999999999998,60,33,0.55,1.026315789473684,1.9907,17
ASTS,406,202,0.5,8.91,60,34,0.57,1.0183299389002038,1.9774,18
DTC,406,161,0.4,-0.96,60,29,0.48,1.0,1.9333,19
UAVS,406,139,0.34,-0.98,60,27,0.45,1.0,1.9286,20
YSG,406,207,0.51,1.5099999999999998,60,32,0.53,0.9609374999999998,1.8658,21
INDI,406,180,0.44,-0.4,60,30,0.5,0.9354838709677418,1.8144,22
CRDO,406,220,0.54,5.35,60,34,0.57,0.9300911854103342,1.8107,23
OKLO,406,201,0.5,5.7,60,28,0.47,0.9308357348703169,1.8018,24
SOFI,406,211,0.52,1.46,60,36,0.6,0.8496240601503757,1.6601,25
BHC,406,206,0.51,0.07000000000000006,60,35,0.58,0.8448275862068968,1.6498,26
AAP,406,202,0.5,-0.050000000000000044,60,30,0.5,0.8269230769230769,1.6095,27
U,406,199,0.49,-0.020000000000000018,60,31,0.52,0.8148148148148147,1.5879,28
TLYS,406,169,0.42,-0.8,60,25,0.42,0.8181818181818183,1.5845,29
KSS,406,186,0.46,-0.43999999999999995,60,35,0.58,0.806451612903226,1.5766,30
HOOD,406,231,0.57,8.23,60,34,0.57,0.7887596899224807,1.5418,31
RKLB,406,209,0.51,7.34,60,30,0.5,0.7594936708860758,1.4815,32
ETHE,406,205,0.5,1.0899999999999999,60,31,0.52,0.7272727272727273,1.4212,33
VHC,406,183,0.45,1.15,60,28,0.47,0.72,1.4039,34
CLS,406,231,0.57,5.91,60,36,0.6,0.7146401985111661,1.4015,35
RBCN,406,122,0.3,3.6399999999999997,60,23,0.38,0.7058823529411762,1.3697,36
SANA,406,179,0.44,-0.20999999999999996,60,31,0.52,0.6808510638297873,1.3324,37
CYD,406,208,0.51,2.63,60,34,0.57,0.6728110599078341,1.3195,38
DQ,406,202,0.5,-0.08999999999999997,60,34,0.57,0.6545454545454545,1.2844,39
SOUN,406,181,0.45,6.5,60,26,0.43,0.6483516483516485,1.2652,40
SCS,406,199,0.49,0.29000000000000004,60,29,0.48,0.6329113924050633,1.2388,41
FET,406,204,0.5,0.040000000000000036,60,36,0.6,0.625,1.2287,42
CTKB,406,190,0.47,-0.55,60,31,0.52,0.607142857142857,1.191,43
ATEYY,406,225,0.55,1.35,60,38,0.63,0.5986394557823129,1.1787,44
RNWEY,406,58,0.14,-0.8200000000000001,60,2,0.03,0.7999999999999998,1.1429,45
AMD,406,205,0.5,0.28,60,36,0.6,0.5802469135802468,1.1421,46
ORCL,406,228,0.56,1.4300000000000002,60,40,0.67,0.577922077922078,1.1394,47
GHLD,406,188,0.46,0.52,60,34,0.57,0.5670103092783505,1.1154,48
CELH,406,189,0.47,-0.030000000000000027,60,35,0.58,0.564516129032258,1.1111,49
OWLT,406,195,0.48,0.3500000000000001,60,33,0.55,0.5517241379310347,1.0853,50
STEM,406,176,0.43,-0.8,60,30,0.5,0.5384615384615385,1.0579,51
WDC,406,217,0.53,0.96,60,42,0.7,0.5193798449612403,1.0261,52
RGTI,406,190,0.47,17.1,60,28,0.47,0.5197313182199834,1.0205,53
CLF,406,186,0.46,-0.47,60,28,0.47,0.5142857142857145,1.01,54
TME,406,207,0.51,1.9500000000000002,60,37,0.62,0.5051020408163267,0.9966,55
CDE,406,206,0.51,2.65,60,31,0.52,0.49590163934426235,0.9762,56
GILT,406,185,0.46,0.41999999999999993,60,26,0.43,0.49473684210526314,0.971,57
STX,406,215,0.53,0.95,60,34,0.57,0.4885496183206106,0.9633,58
ALB,406,195,0.48,-0.42000000000000004,60,33,0.55,0.487179487179487,0.9602,59
SMR,406,198,0.49,10.3,60,27,0.45,0.48684210526315796,0.9564,60
NGL,406,189,0.47,-0.09999999999999998,60,30,0.5,0.47540983606557385,0.936,61
MBI,406,201,0.5,0.09000000000000008,60,32,0.53,0.472972972972973,0.9322,62
GDOT,406,209,0.51,0.3700000000000001,60,31,0.52,0.4731182795698925,0.932,63
