Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
OPEN,2020-06-18,2025-08-22,1301,609,0.47,-0.54,2025-06-27,40,28,0.7,8.2,1.2899,1
ZEPP,2020-01-02,2025-08-22,1417,620,0.44,-0.12,2025-06-27,40,24,0.6,13.666666666666668,1.1495,2
STEM,2020-10-08,2025-08-22,1223,555,0.45,-0.91,2025-06-27,40,23,0.57,2.0,0.8872,3
BE,2020-01-02,2025-08-22,1417,688,0.49,5.16,2025-06-27,40,25,0.62,1.1921708185053381,0.8158,4
WBX,2021-04-19,2025-08-22,1092,468,0.43,-0.56,2025-06-27,40,17,0.42,13.666666666666668,0.815,5
WULF,2020-01-02,2025-08-22,1417,651,0.46,0.8700000000000001,2025-06-27,40,24,0.6,1.174418604651163,0.7942,6
SLDP,2021-05-18,2025-08-22,1071,474,0.44,-0.52,2025-06-27,40,22,0.55,1.1818181818181817,0.7507,7
UP,2020-11-18,2025-08-22,1194,542,0.45,-0.98,2025-06-27,40,22,0.55,1.0,0.7097,8
ETHE,2020-01-02,2025-08-22,1417,721,0.51,15.170000000000002,2025-06-27,40,22,0.55,0.9962962962962967,0.7087,9
MATV,2020-01-02,2025-08-22,1417,685,0.48,-0.6,2025-06-27,40,25,0.62,0.8181818181818183,0.7054,10
COMM,2020-01-02,2025-08-22,1417,688,0.49,0.1100000000000001,2025-06-27,40,23,0.57,0.9137931034482762,0.7021,11
NIO,2020-01-02,2025-08-22,1417,678,0.48,0.7,2025-06-27,40,24,0.6,0.8279569892473118,0.6958,12
MBI,2020-01-02,2025-08-22,1417,694,0.49,0.8899999999999999,2025-06-27,40,25,0.62,0.783018867924528,0.692,13
SNDX,2020-01-02,2025-08-22,1417,711,0.5,0.8500000000000001,2025-06-27,40,24,0.6,0.796116504854369,0.6843,14
INBX,2024-05-29,2025-08-22,309,154,0.5,1.0,2025-06-27,40,25,0.62,0.7391304347826089,0.6743,15
ZIMV,2022-02-16,2025-08-22,881,429,0.49,-0.31999999999999995,2025-06-27,40,19,0.48,1.0606060606060606,0.6609,16
RUN,2020-01-02,2025-08-22,1417,693,0.49,0.1399999999999999,2025-06-27,40,18,0.45,1.192307692307692,0.6534,17
FOSL,2020-01-02,2025-08-22,1417,635,0.45,-0.63,2025-06-27,40,19,0.48,0.9473684210526316,0.6372,18
KSS,2020-01-02,2025-08-22,1417,664,0.47,-0.61,2025-06-27,40,24,0.6,0.6250000000000002,0.6122,19
AMPX,2022-09-15,2025-08-22,736,322,0.44,-0.28,2025-06-27,40,20,0.5,0.7560975609756098,0.6019,20
WOLF,2020-01-02,2025-08-22,1417,693,0.49,-0.97,2025-06-27,40,14,0.35,2.0,0.5957,21
MNMD,2020-01-02,2025-08-22,1417,626,0.44,11.13,2025-06-27,40,24,0.6,0.5551282051282052,0.5767,22
IOVA,2020-01-02,2025-08-22,1417,679,0.48,-0.9,2025-06-27,40,20,0.5,0.6666666666666667,0.5714,23
GPRO,2020-01-02,2025-08-22,1417,658,0.46,-0.73,2025-06-27,40,22,0.55,0.588235294117647,0.5685,24
BWMX,2020-01-02,2025-08-22,1417,649,0.46,1.06,2025-06-27,40,23,0.57,0.5606060606060606,0.5653,25
RBCN,2020-01-02,2025-08-22,1417,530,0.37,4.39,2025-06-27,40,16,0.4,0.8846153846153846,0.5509,26
U,2020-09-18,2025-08-22,1237,604,0.49,-0.43000000000000005,2025-06-27,40,21,0.52,0.5833333333333333,0.5498,27
SCS,2020-01-02,2025-08-22,1417,689,0.49,0.010000000000000009,2025-06-27,40,20,0.5,0.6031746031746033,0.5468,28
BW,2020-01-02,2025-08-22,1417,666,0.47,-0.54,2025-06-27,40,17,0.42,0.7692307692307692,0.5433,29
DQ,2020-01-02,2025-08-22,1417,672,0.47,1.08,2025-06-27,40,23,0.57,0.5072463768115945,0.5368,30
RDDT,2024-03-21,2025-08-22,356,180,0.51,3.3099999999999996,2025-06-27,40,22,0.55,0.5176056338028168,0.5333,31
JOBY,2020-11-09,2025-08-22,1201,565,0.47,0.41999999999999993,2025-06-27,40,19,0.48,0.5777777777777777,0.5244,32
SOFI,2021-01-04,2025-08-22,1164,569,0.49,1.0499999999999998,2025-06-27,40,25,0.62,0.45390070921985815,0.5241,33
