Symbol,n_change,n_gain,gain_ratio,relative_change,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
WBX,406,151,0.37,1.6099999999999999,60,23,0.38,14.352941176470587,17.6756,1
ZEPP,406,180,0.44,4.88,60,32,0.53,12.066666666666666,17.525,2
SLDP,406,182,0.45,2.78,60,34,0.57,2.857142857142857,5.2713,3
AMPX,406,176,0.43,0.78,60,31,0.52,1.9666666666666668,3.6987,4
COMM,406,204,0.5,4.42,60,36,0.6,1.7938144329896906,3.4173,5
JOBY,406,191,0.47,1.69,60,30,0.5,1.514018691588785,2.8826,6
BE,406,205,0.5,2.07,60,35,0.58,1.4959349593495932,2.8692,7
GPRO,406,167,0.41,-0.61,60,32,0.53,1.2941176470588234,2.4876,8
WULF,406,197,0.49,2.9,60,32,0.53,1.2941176470588234,2.4876,8
ABCL,406,184,0.45,-0.19999999999999996,60,34,0.57,1.285714285714286,2.4777,10
ZIMV,406,198,0.49,0.050000000000000044,60,29,0.48,1.2340425531914896,2.3673,11
AEHR,406,180,0.44,-0.27,60,33,0.55,1.1470588235294117,2.2171,12
BW,406,182,0.45,0.06000000000000005,60,23,0.38,1.12,2.136,13
APLD,406,195,0.48,1.02,60,23,0.38,1.0824742268041239,2.0676,14
FOSL,406,168,0.41,1.0499999999999998,60,28,0.47,1.0707070707070705,2.0625,15
MATV,406,199,0.49,-0.22999999999999998,60,33,0.55,1.026315789473684,1.9907,16
ASTS,406,202,0.5,8.91,60,34,0.57,1.0183299389002038,1.9774,17
DTC,406,161,0.4,-0.96,60,29,0.48,1.0,1.9333,18
UAVS,406,139,0.34,-0.98,60,27,0.45,1.0,1.9286,19
YSG,406,207,0.51,1.5099999999999998,60,32,0.53,0.9609374999999998,1.8658,20
INDI,406,180,0.44,-0.4,60,30,0.5,0.9354838709677418,1.8144,21
CRDO,406,220,0.54,5.35,60,34,0.57,0.9300911854103342,1.8107,22
OKLO,406,201,0.5,5.7,60,28,0.47,0.9308357348703169,1.8018,23
SOFI,406,211,0.52,1.46,60,36,0.6,0.8496240601503757,1.6601,24
BHC,406,206,0.51,0.07000000000000006,60,35,0.58,0.8448275862068968,1.6498,25
AAP,406,202,0.5,-0.050000000000000044,60,30,0.5,0.8269230769230769,1.6095,26
U,406,199,0.49,-0.020000000000000018,60,31,0.52,0.8148148148148147,1.5879,27
TLYS,406,169,0.42,-0.8,60,25,0.42,0.8181818181818183,1.5845,28
KSS,406,186,0.46,-0.43999999999999995,60,35,0.58,0.806451612903226,1.5766,29
HOOD,406,231,0.57,8.23,60,34,0.57,0.7887596899224807,1.5418,30
RKLB,406,209,0.51,7.34,60,30,0.5,0.7594936708860758,1.4815,31
ETHE,406,205,0.5,1.0899999999999999,60,31,0.52,0.7272727272727273,1.4212,32
VHC,406,183,0.45,1.15,60,28,0.47,0.72,1.4039,33
CLS,406,231,0.57,5.91,60,36,0.6,0.7146401985111661,1.4015,34
RBCN,406,122,0.3,3.6399999999999997,60,23,0.38,0.7058823529411762,1.3697,35
SANA,406,179,0.44,-0.20999999999999996,60,31,0.52,0.6808510638297873,1.3324,36
CYD,406,208,0.51,2.63,60,34,0.57,0.6728110599078341,1.3195,37
DQ,406,202,0.5,-0.08999999999999997,60,34,0.57,0.6545454545454545,1.2844,38
SOUN,406,181,0.45,6.5,60,26,0.43,0.6483516483516485,1.2652,39
SCS,406,199,0.49,0.29000000000000004,60,29,0.48,0.6329113924050633,1.2388,40
FET,406,204,0.5,0.040000000000000036,60,36,0.6,0.625,1.2287,41
CTKB,406,190,0.47,-0.55,60,31,0.52,0.607142857142857,1.191,42
ATEYY,406,225,0.55,1.35,60,38,0.63,0.5986394557823129,1.1787,43
RNWEY,406,58,0.14,-0.8200000000000001,60,2,0.03,0.7999999999999998,1.1429,44
AMD,406,205,0.5,0.28,60,36,0.6,0.5802469135802468,1.1421,45
ORCL,406,228,0.56,1.4300000000000002,60,40,0.67,0.577922077922078,1.1394,46
GHLD,406,188,0.46,0.52,60,34,0.57,0.5670103092783505,1.1154,47
CELH,406,189,0.47,-0.030000000000000027,60,35,0.58,0.564516129032258,1.1111,48
OWLT,406,195,0.48,0.3500000000000001,60,33,0.55,0.5517241379310347,1.0853,49
STEM,406,176,0.43,-0.8,60,30,0.5,0.5384615384615385,1.0579,50
WDC,406,217,0.53,0.96,60,42,0.7,0.5193798449612403,1.0261,51
RGTI,406,190,0.47,17.1,60,28,0.47,0.5197313182199834,1.0205,52
CLF,406,186,0.46,-0.47,60,28,0.47,0.5142857142857145,1.01,53
TME,406,207,0.51,1.9500000000000002,60,37,0.62,0.5051020408163267,0.9966,54
CDE,406,206,0.51,2.65,60,31,0.52,0.49590163934426235,0.9762,55
GILT,406,185,0.46,0.41999999999999993,60,26,0.43,0.49473684210526314,0.971,56
STX,406,215,0.53,0.95,60,34,0.57,0.4885496183206106,0.9633,57
ALB,406,195,0.48,-0.42000000000000004,60,33,0.55,0.487179487179487,0.9602,58
SMR,406,198,0.49,10.3,60,27,0.45,0.48684210526315796,0.9564,59
NGL,406,189,0.47,-0.09999999999999998,60,30,0.5,0.47540983606557385,0.936,60
MBI,406,201,0.5,0.09000000000000008,60,32,0.53,0.472972972972973,0.9322,61
GDOT,406,209,0.51,0.3700000000000001,60,31,0.52,0.4731182795698925,0.932,62
APYX,406,175,0.43,-0.18999999999999995,60,31,0.52,0.47272727272727266,0.9313,63
AMLX,406,203,0.5,-0.47,60,31,0.52,0.4722222222222223,0.9303,64
PLTR,406,220,0.54,9.69,60,36,0.6,0.47042640990371387,0.9287,65
SNDX,406,200,0.49,-0.28,60,33,0.55,0.4693877551020409,0.9256,66
UPST,406,197,0.49,0.6499999999999999,60,34,0.57,0.4601769911504425,0.9081,67
ELF,406,202,0.5,-0.17000000000000004,60,35,0.58,0.45614035087719307,0.9005,68
POWL,406,210,0.52,1.8399999999999999,60,32,0.53,0.45641025641025634,0.9,69
AXTI,406,184,0.45,-0.17000000000000004,60,32,0.53,0.45614035087719307,0.8995,70
VC,406,188,0.46,-0.040000000000000036,60,31,0.52,0.45454545454545436,0.896,71
QUBT,406,174,0.43,16.21,60,27,0.45,0.45354729729729737,0.8921,72
HPP,406,181,0.45,-0.71,60,33,0.55,0.44999999999999973,0.8879,73
EL,406,193,0.48,-0.35,60,34,0.57,0.4444444444444444,0.8774,74
CRNC,406,184,0.45,-0.38,60,30,0.5,0.4418604651162792,0.8709,75
ETSY,406,206,0.51,-0.18000000000000005,60,35,0.58,0.4385964912280702,0.8663,76
IVZ,406,218,0.54,0.28,60,35,0.58,0.4382022471910112,0.8656,77
BYON,406,165,0.41,-0.6699999999999999,60,27,0.45,0.4347826086956521,0.8558,78
FOR,406,195,0.48,-0.17000000000000004,60,30,0.5,0.4310344827586208,0.8499,79
DISPF,406,40,0.1,-12.12,60,2,0.03,0.5316804407713498,0.84,80
NCLH,406,212,0.52,0.33000000000000007,60,35,0.58,0.4148936170212767,0.8201,81
OSK,406,210,0.52,0.33000000000000007,60,30,0.5,0.4148936170212767,0.8185,82
EBAY,406,224,0.55,1.3599999999999999,60,35,0.58,0.4131736526946108,0.8167,83
DINRF,406,48,0.12,-10.04,60,6,0.1,0.43492063492063493,0.8111,84
IOVA,406,179,0.44,-0.69,60,29,0.48,0.40909090909090917,0.8068,85
BWMX,406,182,0.45,0.08000000000000007,60,31,0.52,0.4025974025974026,0.7949,86
REVG,406,210,0.52,2.48,60,32,0.53,0.39759036144578297,0.7854,87
ADTTF,406,48,0.12,1.0899999999999999,60,5,0.08,0.4217687074829932,0.7779,88
ASYS,406,184,0.45,0.16999999999999993,60,30,0.5,0.3928571428571428,0.7756,89
EFXT,406,215,0.53,1.1800000000000002,60,34,0.57,0.3885350318471339,0.7683,90
SPTN,406,196,0.48,0.17999999999999994,60,26,0.43,0.388235294117647,0.765,91
IQV,406,194,0.48,-0.17000000000000004,60,33,0.55,0.3833333333333333,0.7579,92
DHI,406,206,0.51,0.1200000000000001,60,34,0.57,0.3827160493827162,0.7569,93
ACLS,406,194,0.48,-0.35,60,31,0.52,0.38297872340425543,0.7566,94
NVMI,406,208,0.51,0.8799999999999999,60,34,0.57,0.38235294117647034,0.7562,95
TER,406,205,0.5,0.050000000000000044,60,29,0.48,0.381578947368421,0.7532,96
MNMD,406,195,0.48,1.65,60,31,0.52,0.38020833333333326,0.7512,97
UAL,406,210,0.52,1.48,60,34,0.57,0.37777777777777777,0.7473,98
SA,406,204,0.5,0.4099999999999999,60,36,0.6,0.3689320388349513,0.7304,99
NVDA,406,227,0.56,2.75,60,37,0.62,0.3686131386861313,0.73,100
BILI,406,204,0.5,1.1400000000000001,60,34,0.57,0.36305732484076425,0.7184,101
GLW,406,222,0.55,1.23,60,33,0.55,0.3597560975609757,0.7118,102
NUVB,406,183,0.45,0.75,60,29,0.48,0.3565891472868217,0.7045,103
CCL,406,210,0.52,0.72,60,33,0.55,0.35433070866141736,0.7011,104
TPB,406,222,0.55,2.82,60,33,0.55,0.34982332155477014,0.6923,105
LPSN,406,171,0.42,-0.73,60,27,0.45,0.3500000000000001,0.691,106
GHM,406,212,0.52,1.58,60,32,0.53,0.34375,0.6802,107
INCY,406,217,0.53,0.33000000000000007,60,33,0.55,0.3434343434343434,0.6798,108
AVGO,406,220,0.54,1.88,60,37,0.62,0.3395348837209302,0.6729,109
CIA,406,207,0.51,0.8700000000000001,60,30,0.5,0.33571428571428585,0.664,110
LVS,406,211,0.52,0.08000000000000007,60,33,0.55,0.33333333333333326,0.66,111
NBR,406,195,0.48,-0.6,60,32,0.53,0.3333333333333335,0.6598,112
OPI,406,142,0.35,-0.96,60,17,0.28,0.3333333333333335,0.6538,113
LPG,406,193,0.48,-0.18999999999999995,60,29,0.48,0.32786885245901654,0.6484,114
SRAD,406,228,0.56,1.81,60,36,0.6,0.32547169811320753,0.6451,115
WBD,406,217,0.53,0.020000000000000018,60,34,0.57,0.3246753246753247,0.6432,116
NEM,406,222,0.55,0.76,60,36,0.6,0.32330827067669166,0.6409,117
AES,406,203,0.5,-0.26,60,35,0.58,0.3214285714285714,0.637,118
KGC,406,228,0.56,2.33,60,34,0.57,0.3214285714285714,0.6368,119
RCL,406,224,0.55,1.6400000000000001,60,36,0.6,0.32000000000000006,0.6344,120
TILE,406,202,0.5,1.12,60,31,0.52,0.31677018633540377,0.6271,121
REX,406,203,0.5,0.16999999999999993,60,38,0.63,0.3146067415730336,0.624,122
URI,406,210,0.52,0.6299999999999999,60,36,0.6,0.314516129032258,0.6236,123
TRIP,406,204,0.5,-0.16000000000000003,60,26,0.43,0.3125,0.6176,124
RUN,406,191,0.47,-0.28,60,31,0.52,0.30909090909090886,0.6121,125
EXPE,406,214,0.53,0.3999999999999999,60,34,0.57,0.30841121495327095,0.6113,126
BTI,406,239,0.59,1.17,60,41,0.68,0.30722891566265065,0.6099,127
NUE,406,203,0.5,-0.15000000000000002,60,33,0.55,0.3076923076923077,0.6097,128
IDXX,406,198,0.49,0.18999999999999995,60,32,0.53,0.3076923076923075,0.6095,129
Z,406,209,0.51,0.49,60,37,0.62,0.3070175438596492,0.609,130
SIG,406,199,0.49,-0.18999999999999995,60,35,0.58,0.306451612903226,0.6076,131
PHM,406,203,0.5,0.28,60,32,0.53,0.30612244897959195,0.6064,132
MTCH,406,204,0.5,0.07000000000000006,60,34,0.57,0.30487804878048785,0.6043,133
PDS,406,202,0.5,0.030000000000000027,60,30,0.5,0.30379746835443044,0.6015,134
IHS,406,188,0.46,0.5900000000000001,60,33,0.55,0.30327868852459017,0.601,135
VTOL,406,208,0.51,0.3400000000000001,60,35,0.58,0.30097087378640786,0.5968,136
RCKY,406,194,0.48,-0.050000000000000044,60,30,0.5,0.3013698630136985,0.5967,137
VST,406,232,0.57,4.25,60,32,0.53,0.29950495049504955,0.5935,138
CAMT,406,225,0.55,0.26,60,39,0.65,0.2989690721649485,0.5934,139
URBN,406,208,0.51,1.17,60,27,0.45,0.29940119760479034,0.5922,140
RIOT,406,188,0.46,-0.26,60,33,0.55,0.29824561403508776,0.5911,141
DBD,406,219,0.54,1.1800000000000002,60,36,0.6,0.29761904761904767,0.5904,142
MLKN,406,194,0.48,-0.16000000000000003,60,28,0.47,0.29230769230769216,0.5786,143
DLTR,406,201,0.5,-0.19999999999999996,60,33,0.55,0.2903225806451615,0.5756,144
SHG,406,206,0.51,0.69,60,34,0.57,0.2900763358778624,0.5752,145
ULTA,406,197,0.49,0.07000000000000006,60,35,0.58,0.28915662650602414,0.5736,146
THRM,406,181,0.45,-0.32999999999999996,60,31,0.52,0.28846153846153855,0.5716,147
ANF,406,200,0.49,0.030000000000000027,60,31,0.52,0.28749999999999987,0.5697,148
VRT,406,231,0.57,1.92,60,33,0.55,0.28634361233480177,0.5678,149
LOB,406,203,0.5,-0.22999999999999998,60,36,0.6,0.28333333333333344,0.5622,150
AMKR,406,204,0.5,-0.22999999999999998,60,32,0.53,0.28333333333333344,0.5617,151
JMIGX,406,209,0.51,0.27,60,34,0.57,0.2828282828282829,0.561,152
NVRI,406,210,0.52,0.09000000000000008,60,34,0.57,0.2823529411764707,0.5601,153
CUBI,406,205,0.5,0.17999999999999994,60,30,0.5,0.28260869565217384,0.5599,154
VTRS,406,197,0.49,0.0,60,33,0.55,0.28205128205128194,0.5593,155
DOCS,406,216,0.53,1.2799999999999998,60,36,0.6,0.2808988764044942,0.5574,156
CDXS,406,193,0.48,-0.040000000000000036,60,31,0.52,0.28,0.555,157
FIKGX,406,221,0.54,0.8,60,36,0.6,0.27659574468085113,0.549,158
NKE,406,198,0.49,-0.26,60,29,0.48,0.27586206896551735,0.5465,159
APH,406,227,0.56,1.2799999999999998,60,39,0.65,0.2737430167597763,0.5437,160
HBI,406,193,0.48,0.43999999999999995,60,24,0.4,0.2743362831858407,0.5425,161
JMCGX,406,209,0.51,0.26,60,34,0.57,0.2727272727272727,0.5411,162
ANVS,406,182,0.45,-0.86,60,31,0.52,0.27272727272727293,0.5407,163
FELTX,406,221,0.54,0.78,60,36,0.6,0.2714285714285716,0.5388,164
